"Cui...dado...","Be...ware...","Ten... cuidado..."
"Suas palavras foram interrompidas por um alto e longo bocejo, e ele não se lembrou de mais nada. <PAGE>","His words were cut off by a loud, long yawn, and he remembered nothing more.<PAGE>","Sus palabras se vieron interrumpidas por un enorme y estruendoso bostezo, y ya no recordaría nada más.<PAGE>"
"Eles podem ter dormido por uma hora ou um ano. <STOP> Quando acordaram, as coisas pareciam mais reais para eles. A névoa parecia mais espessa, as folhas mais verdes... Estava claro que haviam despertado de seu sonho.","They might have slept for an hour or a year. <STOP>When they awoke, things had a slightly more real quality to them. The mist felt thicker, the leaves greener... It was clear that they had awakened from their dream.","Durmieron durante lo que pudo ser una hora o un año. <STOP>Al despertar, las cosas tenían un aspecto más real que antes: la niebla era más espesa, las hojas más verdes... Estaba claro que habían despertado del sueño."
"<NIER> sacudiu gentilmente o ombro do prefeito. ""Boas notícias"", disse ele. ""Acho que conseguimos.""","<NIER> shook the mayor's shoulder gently. ""Good news,"" he said. ""I think we made it.""","<NIER> le dio una palmadita en el hombro al alcalde. ""Buenas noticias"", anunció, ""creo que lo hemos conseguido""."
"""Nossa, caramba"", disse o prefeito em voz baixa. ""Conseguimos. Eu estou de volta."" Ele piscou uma vez e depois novamente—como se não acreditasse muito no que via diante dele.","""Oh, wow,"" said the mayor in an awed voice. ""We did. I'm back."" He blinked once, and then again—as if not quite believing the sight before him.","""Vaya"", dijo el alcalde con tono sorprendido, ""es verdad, hemos vuelto"". Pestañeó una vez y luego otra vez, como si no se creyera del todo la imagen que tenía delante."
"""Vocês dois não têm ideia do quão importante isso é."" <PAGE>","""You two have no idea how much this means.""<PAGE>","""No sabéis lo mucho que significa esto"".<PAGE>"
"""O Sonho da Morte estava se espalhando por nossa aldeia, e eu queria... Bem, pensei que poderia descobrir como impedir isso, mas acho que não foi o caso. Devo ter contraído a doença e ficado preso no meu próprio sonho.""","""The Deathdream was spreading through our village, and I wanted to... Well, I thought I could figure out how to stop it, but I guess that wasn't the case. I must have caught the disease and become trapped in my own dream.""","""El sueño mortal estaba esparciéndose por toda la aldea y quería... en fin, pensaba que podría averiguar cómo detenerlo, pero supongo que no fue así. Imagino que pillé la enfermedad y quedé atrapado en mi propio sueño""."
"O prefeito começou a se levantar, mas caiu de volta ao chão. Ele olhou para suas pernas como se tentasse lembrar como elas funcionavam e então olhou para <NIER> e deu de ombros. <STOP>Sem dizer uma palavra, o jovem estendeu a mão e ajudou o prefeito a se levantar.","The mayor started to stand, then collapsed back to the earth. He stared at his legs as if trying to remember how they worked, then glanced at <NIER> and shrugged. <STOP>Without a word, the young man reached down and pulled the mayor to his feet.","El alcalde trató de ponerse en pie, pero fue incapaz de mantener el equilibrio. Fijó la vista en sus piernas, casi intentando averiguar cómo funcionaban, luego miró a <NIER> y se encogió de hombros. <STOP>Sin mediar palabra, el joven se agachó y ayudó al alcalde a ponerse de pie."
"""A vida real pode exigir certa adaptação"", disse o prefeito com um irônico sorriso. <PAGE>","""Real life may take some getting used to,"" said the mayor as a wry smile crossed his lips.<PAGE>","""Parece que me va a llevar un tiempo acostumbrarme a la vida real"", comentó el alcalde con una sonrisa burlona en los labios.<PAGE>"
"""Você vai reaprender em pouco tempo, tenho certeza"", disse Weiss. ""Por enquanto, você deve voltar para casa e descansar.""","""You shall relearn in short order, I am sure,"" said Weiss. ""For now, you should return to your home and rest.""","""Seguro que no tardas en volver a aprender lo básico"", respondió Weiss. ""Ahora, lo mejor será que vuelvas a casa y descanses""."
"""Não"", disse o prefeito, cambaleando. ""Eu não posso.""","""No,"" said the mayor, swaying on unsteady feet. ""No, I can't.""","""No"", respondió el alcalde, balanceándose sobre sus inestables pies. ""No, no puedo""."
"""Alguns dos aldeões ainda estão presos no Sonho da Morte. Eu tenho que salvá-los.""","""Some of the villagers are still trapped in the Deathdream. I have to save them.""","""Algunos aldeanos siguen atrapados en el sueño mortal. Tengo que rescatarlos""."
"O prefeito lentamente se dirigiu à Árvore Divina no centro da vila, então curvou a cabeça e orou em silêncio.","The mayor slowly made his way to the Divine Tree in the center of the village, then bowed his head and prayed silently.","El alcalde se abrió paso lentamente hacia el Árbol Divino, situado en el centro de la aldea. Entonces, inclinó la cabeza y rezó en silencio."
"""Esta é uma árvore sagrada"", explicou ele quando a oração terminou. ""É a guardiã da história de nossa vila... e lembranças.""","""This is a holy tree,"" he explained when the prayer was finished. ""It's the guardian of our village's history...and memories.""","""Este árbol es sagrado"", explicó una vez terminados sus rezos. ""Es el guardián de la historia de esta aldea... de sus recuerdos""."
"""Superstição só tornará nossa missão mais difícil"", murmurou Weiss. ""Não devemos depositar nossa fé nos deuses.""","""Superstition will only make our mission harder,"" muttered Weiss. ""We should not put our faith in the gods.""","""Las supersticiones solo dificultan aún más nuestra misión"", musitó Weiss. ""No deberíamos tener fe en los dioses""."
"O prefeito balançou a cabeça. ""Não os deuses: as palavras. A lenda diz que nossa árvore é lar de uma poderosa magia conhecida como Verso Selado.""","The mayor shook his head. ""Not the gods: the words. Legend says that our tree is home to a powerful magic known as a Sealed Verse.""","El alcalde negó con la cabeza. ""En los dioses no; en las palabras. La leyenda dice que nuestro árbol alberga una poderosa magia conocida como el 'Verso sellado'""."
"<NIER> e Weiss não podiam conter sua surpresa. Parecia que um objetivo tinha sido encontrado no lugar mais inesperado.<PAGE>","<NIER> and Weiss could not contain their surprise. It seemed a goal had been found in the most unexpected of places.<PAGE>","<NIER> y Weiss no pudieron contener su sorpresa. Habían encontrado uno de sus objetivos en el lugar más insospechado.<PAGE>"
"""Eu digo"", murmurou Weiss, ""isso certamente é um golpe de sorte.""","""I say,"" muttered Weiss, ""this is certainly a stroke of luck.""","""Sin duda, esto es un golpe de suerte"", murmuró Weiss."
"Enquanto os três se despediam, <NIER> mencionou o estranho homem que havia lhes dado o terceiro enigma e as palavras misteriosas que ele havia deixado com eles.","As the three of them said their good-byes, <NIER> mentioned the strange man who had given them the third riddle and the mysterious words he had left them with.","Mientras los tres se despedían, <NIER> recordó al tipo extraño del tercer acertijo y las misteriosas palabras que les había dedicado."
"""Certa vez eu vi uma versão sua que não era você?"" murmurou o prefeito. ""O que isso significa?""","""I once saw a version of you that was not yourself?"" muttered the mayor. ""What in the world does that mean?""","""Hace mucho, vi una versión tuya que nada tenía que ver contigo"", murmuró el alcalde. ""¿Qué narices puede significar eso?""."
"Perdido em pensamentos, ele olhou para o nada por um longo momento.","Lost in thought, he stared into space for a long moment.","Mientras meditaba, perdió la vista en el firmamento."
"""Sabe,"" ele disse suavemente, ""isso vai parecer estranho, mas eu tinha a sensação de ter visto você antes também.""","""You know,"" he said softly, ""this is going to sound odd, but I had a feeling I'd seen you before, too.""","""¿Sabes una cosa?"", dijo con suavidad, ""te sonará extraño, pero tengo la sensación de que yo también te he visto antes""."
"<NIER> tentou manter uma feição mais séria e falhou, mas o prefeito não pareceu notar.","<NIER> tried to keep a straight face and failed, but the mayor didn't seem to notice.","<NIER> trató de mantenerse serio, pero no lo consiguió, aunque el alcalde no pareció darse cuenta."
"""Déjà vu, certo? De qualquer forma, acho que é apenas uma espécie de ilusão criada pelo Sonho da Morte. Provavelmente não significa nada.""","""Déjà vu, right? Anyway, I figure it's just some kind of illusion created by the Deathdream. It probably doesn't mean anything.""","""Un <FONT=ITALIC>déjà vu</FONT>, ¿verdad? En fin, supongo que debe de ser algún tipo de ilusión generada por el sueño mortal. Seguro que no es nada""."
"<NIER> acenou e sorriu para o prefeito mas, interiormente, seus pensamentos estavam acelerando. <STOP><FONT=ITALIC>Há algo errado com o prefeito e suas palavras.</FONT><STOP> <FONT=ITALIC>O que está acontecendo aqui exatamente...?</FONT>","<NIER> gave the mayor a nod and a smile, but inwardly his thoughts were racing. <STOP><FONT=ITALIC>There's something wrong about the mayor and his words.</FONT><STOP> <FONT=ITALIC>And what exactly is going on here...?</FONT>","<NIER> asintió al alcalde y sonrió, pero por dentro, no paraba de darle vueltas. <STOP><FONT=ITALIC>Hay algo que no me encaja sobre el alcalde y sus palabras.</FONT> <STOP><FONT=ITALIC>¿Qué está pasando aquí...?</FONT>"
"Essa charada possivelmente seria a mais difícil de todas.","That riddle would prove to be the most difficult one of all.","Ese acertijo terminaría siendo el más difícil de todos."
"Respiro o ar impregnado de morte e resisto à vontade de rir, pois sei que pareceriam as palavras de um louco. Há quanto tempo estou nesse novo inferno? <LF><STOP> Minha clausura, minha prisão, está escondida sob uma escadaria nas catacumbas há muito tempo inutilizadas de um infinito castelo. Lá fora, ouço os sons de uma marcha fúnebre que toca sem parar. <STOP> A luz não tem lugar aqui. O vento é um amigo esquecido. Rezo para que a Morte venha, mas Ela me abandona. <STOP> O tempo passa. Uma eternidade passa em um único tique-taque de relógio. <PAGE>","I breathe air scented with death and resist the urge to laugh, for I know it will sound like the words of a madman. How long have I been in this fresh hell?<LF><STOP>My box, my prison, is tucked beneath a stairway in the long-unused catacombs of some infinite castle. Outside, I hear the sounds of a funeral dirge that plays without end. <STOP>Light has no place here. Wind is a forgotten friend. I pray for Death to come, but He forsakes me. <STOP>Time passes. An eternity slips by in a single tick of the clock.<PAGE>","""Respiro oxígeno con aroma a muerte y me aguanto las ganas de reír, pues soy consciente de que parecería un loco. ¿Cuánto tiempo llevo confinado en este infierno? <LF><STOP>Mi celda, mi prisión, se encuentra bajo una escalinata, en unas catacumbas olvidadas hace mucho en un vasto castillo. En el exterior, oigo una música fúnebre que no tiene fin. <STOP>La luz no tiene cabida aquí, el viento apenas se recuerda. Rezo por que me llegue la muerte, pero se niega a visitarme. <STOP>El tiempo pasa, transcurre toda una eternidad en un solo tictac del reloj.<PAGE>"""
"Alguém bate em minha prisão!","Someone knocks on my prison! ","¡Llaman a mi celda! "
"""Alguém aí?"" Ouço uma voz desconhecida.","""Anyone there?"" I hear an unfamiliar voice say.","""¿Hay alguien ahí?"", escucho decir a una voz desconocida."
"Meu salvador! <STOP> Arranho a porta da minha cela, cravando espessas lascas sob minhas unhas maltrapilhas. Grito por ajuda; rio; soluço. Certamente isso é um produto da minha mente perturbada! Certamente não pode ser verdade!","My savior! <STOP>I claw at the door of my jail, embedding thick splinters under my ragged nails. I scream for help; I laugh; I sob. Surely this is a product of my addled mind! Surely it cannot be true!","¡Mi salvador! <STOP>Me aferro a la puerta de la cárcel, arrastro gruesas astillas bajo las uñas mugrientas. Pido ayuda a gritos. Me río. Lloro. Seguro que esto es fruto de mi perturbada cabeza. Seguro que esto no es verdad."
"""Ajuda-me!"" Eu grito. ""Pelo amor de todos os deuses, ajuda-me!"" <PAGE>","""Help me!"" I cry. ""For the love of all the gods, help me!""<PAGE>","""¡Ayúdame!"", grito con desesperación. ""¡Por todos los dioses, ayúdame!"".<PAGE>"
"De maneira impossível, ouço o som de uma fechadura sendo arrancada e caindo no chão. <STOP>Conforme a porta lentamente se abre, tenho apenas tempo suficiente para ver um menino de cabelos prateados e um livro flutuante antes que a luz invada o ambiente. Meus olhos, acostumados com a escuridão, explodem de dor, e sou forçado a virar o rosto.<PAGE>","Impossibly, I hear the sound of a lock being torn out and falling to the floor. <STOP>As the door slowly creaks open, I have just enough time to see a silver-haired boy and a floating book before the light pours inside. My eyes, accustomed to blackness, explode with pain, and I am forced to turn away.<PAGE>","Para mi asombro, oigo el sonido de un cerrojo abrirse. <STOP>Cuando la puerta cede y cruje lentamente, apenas tengo tiempo para ver a un chico de pelo plateado y un libro flotante antes de que la luz inunde la habitación. Mis ojos, acostumbrados a la oscuridad, se cierran doloridos, y me veo obligado a girarme.<PAGE>"
"""Quem é você?"" pergunto, mãos trêmulas cobrindo meu rosto. ""Como você veio parar neste lugar?""","""Who are you?"" I ask, shaking hands covering my face. ""How have you come to this place?""","""¿Quiénes sois?"", pregunto con las manos temblorosas cubriéndome el rostro. ""¿Cómo habéis llegado a este lugar?""."
"""Eu sou Grimório Weiss. Esse é <NIER>. Estamos procurando por você há algum tempo. <STOP> Agora venha. Levante-se. Nós vamos despertar juntos desse pesadelo.""","""I am Grimoire Weiss. This is <NIER>. Long have we been searching for you. <STOP>Now come. Stand. We shall awaken from this nightmare together.""","""Yo soy Grimoire Weiss, él es <NIER>. Llevamos mucho tiempo buscándote. <STOP>Ven, levanta. Es hora de despertar de esta pesadilla juntos""."
"""Aquele conhecido como <NIER> estende a mão e me tira da cela. <STOP> Embora meus olhos estejam lentos para se ajustarem à liberdade, meus ouvidos estão afiados como sempre, e eles reconhecem os sons staccato da chuva pesada.""","The one known as <NIER> extends his hand and pulls me from the cell. <STOP>Though my eyes are slow to adjust to freedom, my ears are keen as ever, and they recognize the staccato sounds of heavy rain.","Aquel conocido como <NIER> extiende su mano y me saca de la celda. <STOP>Aunque mis ojos tardan en acostumbrarse a la libertad, mis oídos están más despiertos que nunca, y pronto reconocen el repiqueteo de la lluvia."
"""Nunca pensei em ouvir isso novamente"", sussurro.","""I never thought to hear that again,"" I whisper.","""Jamás pensé que volvería a oír ese sonido"", susurro."
"""Quem dera que essa não fosse uma terrível tempestade"", disse Grimório Weiss. ""Olhe para seus pés."" <PAGE>","""Would that this were not such a terrible storm,"" said Grimoire Weiss. ""Look at your feet.""<PAGE>","""Ojalá no fuera porque hay una tormenta horrible"", dijo Grimoire Weiss. ""Mire a sus pies"".<PAGE>"
"Forço meus olhos a abrir e vejo água se acumulando em torno dos meus tornozelos e envolvendo meus pés.","I force my eyes open and see water pooling around my ankles and lapping at my shins.","Me esfuerzo en abrir los ojos y veo cómo el agua me rodea los tobillos y salpica mis espinillas."
"""Tem tanta água...""","""There's so much of it...""","""Qué cantidad de agua...""."
"""Sim, e mais virá a cada segundo que demoramos. Se não conseguirmos escapar, todos nós vamos nos afogar neste castelo. <STOP> Sabemos que você está fraco, mas você é nossa única esperança de sobrevivermos a esse lugar.""","""Yes, and more comes each moment we delay. If we do not make good our escape, we shall all drown in this castle. <STOP>We know you are weak, but you are our only hope to survive this place.""","""Sí, y cada momento que perdemos significa más agua. Si no conseguimos escapar, nos ahogaremos todos en este castillo. <STOP>Sabemos que estás débil, pero eres nuestra única esperanza para sobrevivir en este sitio""."
"O tempo, aquele amigo esquecido há muito tempo, se fez conhecido novamente. Eu acenei com a cabeça e jurei salvar meus salvadores, não importando o custo. <PAGE>","Time, that long-forgotten friend, made itself known again. I nodded my head and swore to save my rescuers, no matter the cost.<PAGE>","El tiempo, ese amigo caído en el olvido, volvió a hacer acto de presencia. Asentí con la cabeza y juré salvar a mis rescatadores, sin importar lo que costase.<PAGE>"
"As catacumbas do castelo são um labirinto, interligando-se como as entranhas intermináveis ​​de um gigante.","The castle catacombs are a maze, twisting upon themselves like the endless entrails of a giant. ","Las catacumbas del castillo son un laberinto, un entramado que se retuerce como las entrañas de un gigante. "
"No final do corredor...","At the end of the corridor...","Al final del pasillo..."
"Encontro uma fileira de vinte camas com maravilhosos ornamentos postados em cima de um tapete de veludo. Todas estão cobertas por uma camada espessa de poeira e teias de aranha. <PAGE>","I find a row of twenty gorgeous canopied beds resting atop a carpet of velvet. All are covered in a thick layer of dust and cobwebs.<PAGE>","Encuentro una hilera de espléndidas camas con dosel sobre una moqueta de terciopelo. Todo cubierto de una gruesa capa de polvo y telarañas.<PAGE>"
"Procurando a porta para a próxima sala, me deparo com uma massa amorfa de matéria cinzenta. Ela foi empurrada contra a parede e, apesar do meu delírio, acho que vejo os contornos de uma porta mais à frente. <STOP>Quando estendo um dedo e toco uma peça da massa, ela se transforma em poeira e se dispersa no vento. <STOP>A realização lentamente surge e eu caio de joelhos e choro.","Searching for the door to the next room, I come upon a shapeless mass of gray matter. It has been shoved against the side of the wall, and despite my fever, I think I see the outlines of a door just beyond. <STOP>When I reach out a finger and touch a piece of the mass, it turns to dust and drifts away on the wind. <STOP>Realization slowly dawns, and I fall to my knees and weep.","Buscando una puerta que dé a la siguiente habitación, me tropiezo con una masa gris informe, colocada contra la pared y, a pesar de mi fiebre, creo ver el contorno de una puerta justo detrás. <STOP>Cuando toco con un dedo la masa, esta se convierte en polvo y se va con el viento. <STOP>Lentamente, me voy dando cuenta, caigo de rodillas y brotan lágrimas de mis ojos."
"...Cadáveres. Encaro uma montanha de cadáveres carbonizados e em ruínas.","...Corpses. I face a mountain of charred and crumbling corpses.","Cadáveres... Estoy frente a una montaña derrumbada de cadáveres carbonizados."
"Olho para as camas e volto meu olhar para a pilha de corpos até que o horror me atinge completamente: <STOP>Alguém amontoou esses corpos em uma torre e os incendiou. <STOP>Se eles estavam vivos ou mortos, eu não sei—e a sanidade não me permitirá considerar essa opção.","I look from it to the beds and back again until the horror dawns full upon me: <STOP>Someone has piled these bodies into a tower and set them ablaze. <STOP>Whether they were alive or dead, I do not know—and sanity will not permit me to consider the proposition further.","Alterno la vista entre ese terrible espectáculo y las camas hasta que soy plenamente consciente del horror: <STOP>alguien ha formado una torre con estos cuerpos y les ha prendido fuego. <STOP>Si en ese momento estaban vivos o muertos, no puedo saberlo. Por el bien de mi cordura, no puedo planteármelo."
"Eu emito um som. Agora se gritei ou se ri, não tenho certeza. Então minha mente me concede uma escuridão misericordiosa e eu me encontro abrindo a porta e saindo daquele quarto terrível.","I make a sound, whether scream or laughter I cannot be certain. Then my mind grants me merciful blackness, and I find myself opening the door and leaving that most terrible of rooms. ","Emito un sonido, no tengo la certeza de si es grito o carcajada. Es entonces cuando mi mente se funde en una piadosa negrura, tras la cual me despierto abriendo la puerta y abandonando esa horrible habitación. "
"No final do caminho...","At the end of the path...","Al final del camino..."
"Uma fileira de barris pesados de madeira estão deitados de lado em uma câmara escura. Sem dúvida, estão cheios de vinho.","A row of heavy wooden casks lie on their sides in a dark chamber. Doubtless they are filled with wine.","Una hilera de barriles de madera gruesa yace en horizontal dentro de una habitación oscura. Sin duda, están llenos de vino."
"Minha sede rugiu à vida; não consigo lembrar da última vez que minha garganta ressequida teve alívio.","My thirst roars to life; I cannot remember the last time my parched throat had relief.","Mi sed se convierte en un estruendo; no puedo recordar la última vez que mi garganta abrasada halló consuelo."
"Rastejo até o primeiro barril e puxo freneticamente sua tampa. <STOP> <FONT=ITALIC> O roubo de alguns goles não significa nada, </FONT> digo para mim mesmo. <FONT=ITALIC> Os barris serão arruinados pela inundação de qualquer maneira. </FONT> <STOP>Finalmente, a tampa se rende a minha força e um líquido vermelho espesso jorra do buraco.","I scramble to the first cask and pull frantically at the cork. <STOP><FONT=ITALIC>The theft of a few cups means nothing,</FONT> I tell myself. <FONT=ITALIC>The casks will be ruined by the flood regardless.</FONT> <STOP>Finally, the cork surrenders to my attack, and thick red liquid bursts forth from the hole.","Me abalanzo hacia el primer barril y tiro del corcho con frenesí. <STOP><FONT=ITALIC>Robar unos pocos vasos no es nada</FONT>, afirmo para convencerme. <FONT=ITALIC>De igual modo, la inundación echará a perder los barriles.</FONT> <STOP>Finalmente, el corcho se rinde ante mi ofensiva, y un espeso líquido rojo emana del agujero."
"Não é vinho: é sangue ainda quente do corpo! Se é animal ou... algo mais, não posso dizer.","This is no wine: It is blood still warm from the body! Whether animal or...something else, I cannot say. ","No se trata de vino: ¡es sangre aún caliente! Si es animal o... tiene otro origen, no lo sabría decir. "
"O líquido sujo logo se mistura com as águas de inundação em ascensão, criando um calor que toca minhas coxas.<PAGE>","The foul liquid soon mixes with the rising floodwaters, creating a warmth that laps against my thighs.<PAGE>","El líquido infecto no tarda en mezclarse con el agua que sube, y su calor me salpica los muslos.<PAGE>"
"Por todos os deuses! Os outros barris também estão cheios de sangue?","By all the gods! Are the rest of these casks filled with blood as well? ","¡Por todos los dioses! ¿El resto de barriles también están llenos de sangre? "
"Falta-me a coragem para confirmar a suspeita. O nojo rapidamente se torna medo enquanto me viro para fugir, mas minhas pernas fracas me traem, me fazendo cair em cima daquele monte de sangue no chão.","I lack the courage to confirm my suspicion. Disgust quickly becomes fear as I turn to flee, but my weakened legs betray me, sending me toppling over into the red ocean below. ","Carezco del valor necesario para confirmar mis sospechas. El asco se transforma con rapidez en miedo cuando me doy la vuelta para huir, pero mis débiles piernas me traicionan y hacen que acabe cayendo en ese océano bermejo. "
"O cheiro de morte está em toda parte. Ameaça me consumir. Eu preciso escapar deste inferno!","The smell of death is everywhere. It threatens to consume me. I must escape this hell! ","El olor a muerte está por todas partes y amenaza con consumirme. ¡Debo escapar de este infierno! "
"Rastejando como se fosse um animal, contendo meus gritos para que nenhuma sujeira entre em minha boca, me arrasto pelas águas vermelhas e saio da sala para a liberdade.. ","Crawling on all fours like an animal, holding back screams lest any foulness enter my mouth, I lurch forward through the red waters and out of the room to freedom. ","Arrastrándome a cuatro patas como un animal y conteniendo los gritos para evitar que entre esa asquerosidad en mi boca, me tambaleo entre las aguas rojas para salir de esa habitación y alcanzar la libertad. "
"No final do caminho...","At the end of the path...","Al final del camino..."
"Me encontro em uma grande sala onde apenas o som da chuva me conforta. O tapete vermelho encharcado de água é esmagado por meus pés enquanto me aproximo do centro da sala. <STOP> Lá, vejo uma linda mesa de jantar na qual repousam porcelana e prataria da mais fina construção, bem como os restos de um fantástico banquete. <STOP> À medida que meus olhos continuam a se ajustar, vejo muitas cadeiras em torno da mesa, cada uma contendo um convidado para jantar. <LF> <LF> <LF> <PAGE> Notando o movimento, me aproximo da cadeira na cabeceira da mesa. Mas à medida que a verdade da situação me ocorre, recuo com horror. <STOP> O anfitrião do banquete é um cadáver, assim como todos que foram convidados. Um exército de insetos nojentos e ondulantes fizeram morada em seus restos mortais, e isso foi tudo o que vi.","I find myself in a great hall with only the sounds of rain for comfort. The waterlogged red carpet squishes beneath my feet as I approach the center of the room. <STOP>Once there, I behold a beautiful dining table upon which rests china and silver of the finest construction, as well as the remains of a fantastic feast. <STOP>As my eyes continue to adjust, I see many chairs surrounding the table, each holding a dinner guest.<LF><LF><LF><PAGE>Noticing movement, I approach the chair at the table's head. But as the truth of the matter dawns on me, I recoil in horror. <STOP>The host of the feast is a corpse, as are all the invited guests. An army of foul, wriggling insects have made homes in their remains, and this is the movement I saw.","Me encuentro en una gran sala con el sonido de la lluvia como único consuelo. La moqueta empapada rezuma agua bajo mis pies a medida que avanzo hacia el centro. <STOP>Una vez allí, observo una bella mesa de comedor con piezas de porcelana y plata de la mejor calidad, junto a los restos de un gran festín. <STOP>Descubro muchas sillas alrededor de la mesa, cada una ocupada por un invitado.<LF><LF><LF><PAGE>Me acerco a la silla que preside la mesa y, en cuanto descubro la realidad, retrocedo horrorizado. <STOP>El anfitrión es un cadáver, al igual que los invitados, y sus restos son el hogar de insectos repugnantes."
"Este banquete que um dia foi esplêndido, agora nada mais era do que um descanso para os condenados. <PAGE>","This once-splendid feast was now nothing more than a requiem for the damned.<PAGE>","Lo que otrora fuera un festín espléndido ya no es más que un réquiem por los malditos.<PAGE>"
"Tiro um pouco de tempo para me recompôr e lentamente me afasto da mesa. <STOP>Desesperado para perder de vista a abominação diante de mim, meu olhar pousa nas cadeiras em que os mortos estavam sentados. <STOP>O que é um erro, pois as cadeiras provam ser ainda mais terríveis do que o próprio banquete.","I take a moment to steady my shaking hands, then slowly back away from the table. <STOP>Desperate to lose sight of the abomination before me, my gaze lands on the chairs upon which the dead were seated. <STOP>This is a mistake, for the chairs prove to be even more terrible than the feast itself.","Me tomo un momento para que mis manos dejen de temblar y me alejo lentamente de la mesa. <STOP>Desesperado por perder de vista tal abominación, mi vista se posa en las sillas que daban asiento a los muertos. <STOP>Un error por mi parte, puesto que las sillas resultan albergar más horror que el propio festín."
"Cada uma delas é coberta por uma camada de espinhos que correm do assento, subindo pelas costas e descendo pelos braços. <STOP>Isso explica a cor do carpete sob meus pés. Só posso rezar para que os infelizes convidados já estivessem mortos quando a refeição começou!","Each one is covered in a layer of spikes that run from the seat, up the back, and down the arms. <STOP>This explains the color of the carpet beneath my feet. I can only pray that the unfortunate diners were dead when the meal began!","Cada una está cubierta por una capa de pinchos que comienza en el asiento, sube por el respaldo y baja por el reposabrazos. <STOP>Eso explica el color de la moqueta bajo mis pies. ¡Solo puedo rezar porque los desafortunados comensales estuvieran muertos antes de que comenzase el festín!"
"Pois se não estavam, é fácil imaginar os gritos agonizantes que devem ter saído de suas bocas.","For if not, it is a simple task to envision the agonized screams that must have sprung forth from their mouths.","De lo contrario, no es difícil imaginarse los gritos de agonía que debieron arrojar sus gargantas."
"Minha mente se agarra freneticamente a possibilidade de que essas almas tenham cometido algum crime terrível pelo qual isso é um castigo. <STOP>Embora, na verdade, eu suspeite que eles não tenham cometido nenhum crime.","My mind grasps frantically at the possibility that these souls had committed some terrible crime for which this was punishment. <STOP>Though in truth, I suspect they had committed no crime at all.","Mi mente se aferra desesperadamente a la posibilidad de que estas almas cometieran un crimen terrible y que este fuera su castigo. <STOP>Aunque, en honor a la verdad, sospecho que no cometieron crimen alguno."
"Não haveria amanhã para essas miseráveis almas. Essa era sua última ceia.","There would be no tomorrow for these unfortunates. This was their last supper.","No habrá mañana para estos desgraciados. Esta fue su última cena."
"No final do caminho...","At the end of the path...","Al final del camino..."
"As águas sobem até minha cintura, me deixando exausto tanto fisicamente quanto espiritualmente. Eu rezo para que este seja o caminho para sair. <PAGE>","The waters rise to my waist, exhausting me both physically and spiritually. I pray that this is the way out.<PAGE>","El agua sube hasta mi cintura, agotándome física y espiritualmente. Rezo para que este sea el camino hacia el exterior.<PAGE>"
"Eventualmente, não consigo mais suportar a visão das águas e então levanto meus olhos para cima. <STOP>Imagine minha surpresa quando vejo uma série de pinturas penduradas na parede de gesso desbotada! <STOP>Cada uma retrata uma pessoa no auge da vida, vestida com roupas da mais alta qualidade. Os estilos, no entanto, são estranhos para mim, o que me leva a acreditar que essas pessoas viveram há muito, muito tempo atrás.","Eventually, I can stand the sight of the waters no longer, and so turn my eyes upward. <STOP>Imagine my surprise when I see a series of paintings hanging on the faded plaster wall! <STOP>Each depicts a person in the prime of life, clad in clothing of the highest quality. The styles, however, are strange to me, leading me to believe that these people had lived long, long ago.","Pasado un tiempo, no soy capaz de soportar la visión del agua, y subo la vista hacia arriba. <STOP>¡Menuda sorpresa, cuando veo una serie de cuadros colgando de la pared de yeso descolorida! <STOP>Cada uno representa a una persona en la flor de la vida, cubierta de ropas de la mejor calidad. Sus formas de vestir, sin embargo, me resultan extrañas, lo que me hace pensar que se trata de personas que vivieron mucho tiempo atrás."
"Um dos assuntos usa um traje que particularmente chama minha atenção. <STOP>É feito de um tecido fino e arejado, decorado com um motivo de flores e pássaros, enquanto circunda a cintura da figura há um cinto de couro de construção perfeita. É uma fantasia deslumbrante, mesmo pelos padrões modernos.<PAGE>","One subject wears an outfit that particularly catches my eye. <STOP>It is constructed of a thin, breezy cloth, and decorated with a motif of flowers and birds, while encircling the figure's waist is a leather belt of the most perfect construction. It is a stunning costume even by modern standards.<PAGE>","Un sujeto porta un atuendo que llama mi atención en particular. <STOP>Está hecho de una tela ligera y fresca, decorada con motivos de flores y pájaros, y en la cintura lleva un cinturón de cuero de excelente factura. Es un ropaje deslumbrante incluso para los estándares modernos.<PAGE>"
"Enquanto olho para o retrato, sou atingido por um desejo de tocá-lo com minhas próprias mãos. <STOP>Contudo, ao estender um único dedo para a pintura, sou agarrado por um sentimento desagradável. <STOP>Encarando de perto a imagem, vejo que ela se dobra e se distorce na forma de outro dedo. Algo atrás da imagem está apontando para mim!","As I gaze at the portrait, I am struck by a desire to touch it with my own hands. <STOP>Yet as I extend a single finger to the painting, I am gripped by a most unpleasant feeling. <STOP>Staring closely at the image, I see it bend and warp into the shape of another finger. Something behind the picture is pointing at me!","Al contemplar el retrato, me asalta el deseo de tocarlo con mis propias manos. <STOP>Sin embargo, en cuanto acerco un solo dedo al cuadro, me sobreviene una sensación de lo más desagradable. <STOP>Miro fijamente a la imagen y veo cómo se dobla y se retuerce para dar forma a otro dedo. ¡Hay algo tras el cuadro que me está señalando!"
