"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"A gosma alcançou seu rosto, subiu passando pelo seu nariz e lentamente escorreu para a cavidade de seu olho que faltava. <STOP>No momento em que tocou seu cérebro, Kainé foi atingida pela sensação mais poderosa que já experimentara em sua vida. Era êxtase. <STOP>Ela queria gritar de prazer, mas tudo o que conseguiu foi um pequeno gemido sussurrado.","The slime reached her face, crept up past her nose, and slowly oozed into the socket of her missing eye. <STOP>The moment it touched her brain, Kainé was struck by the most powerful sensation she'd ever felt in her life. It was ecstasy. <STOP>She wanted to scream with delight, but all she could manage was a small, whispered moan.","El líquido pegajoso llegó hasta su cara, subió arrastrándose más allá de su nariz y se coló en la cavidad del ojo que había perdido. <STOP>En el instante en que tocó su cerebro, experimentó la sensación más poderosa que había sentido en su vida. Era el éxtasis. <STOP>Quería gritar de placer, pero todo lo que pudo hacer fue susurrar un pequeño gemido."
"""Isso é bom, né?"" perguntou a voz com uma risada. ""Então, o que posso dizer? Eu sei como agradar as mulheres. <STOP>Agora me dá esse corpo. Vamos, me dá seu corpo e te darei mais dessa sensação. É uma troca justa.""","""Feels good, don't it?"" asked the voice with a chuckle. ""Yeah, what can I say? I know how to please the ladies. <STOP>Now gimme that body. Come on, gimme the body and I'll give you more of this feeling. It's a fair trade.""","""Te sientes bien, ¿eh?"", preguntó la voz con una risita. ""Ya ves, ¿qué te voy a contar? Sé cómo satisfacer a una dama. <STOP>Y ahora, dame ese cuerpo. Venga, entrégame tu cuerpo y te seguiré haciendo sentir así. Es un trato justo""."
"Um caroço preto começou a se projetar do lado de Kainé. Enquanto ela observava, ele crescia cada vez mais longo e denso, eventualmente assumindo a forma de seu braço perdido. <FONT=ITALIC>Eu posso enxergar melhor,</FONT> ela pensou. <FONT=ITALIC>Meu olho também tá se regenerando.</FONT><PAGE>","A black lump began to protrude from Kainé's side. As she watched, it grew longer and thicker, eventually taking the form of her missing arm. <FONT=ITALIC>I can see better,</FONT> she thought. <FONT=ITALIC>My eye must be growing back, too.</FONT><PAGE>","Un bulto negro comenzó a sobresalir en el costado de Kainé. A medida que lo miraba, se volvía más denso y más grande, hasta que tomó la forma del brazo que había perdido. <FONT=ITALIC>Puedo ver mejor,</FONT> pensó. <FONT=ITALIC>Mi ojo también debe estar volviendo.</FONT><PAGE>"
"A gosma avançou para envolver o resto de seu rosto, mas ela conseguiu afastá-lo.","The slime reached up to envelop the rest of her face, but she managed to brush it away.","La sustancia intentó envolver el resto de su cara, pero Kainé consiguió apartarla."
"""P-para..."" ela sussurrou, maravilhada por ter recuperado sua voz. ""Para...""","""S-stop..."" she whispered, marveling at how she had regained her voice. ""Stop...""","""P-para..."", susurró, asombrada al notar cómo había recuperado su voz. ""Para...""."
"A substância preta hesitou, como se estivesse considerando esse pedido, então rapidamente brilhou por seu corpo antes de desaparecer em uma nuvem de fumaça. <PAGE>","The black ooze hesitated, as if considering this request, then quickly shimmered down her body before disappearing in a cloud of smoke.<PAGE>","El líquido espeso vaciló, como si estuviera considerando su petición, para luego abandonar su cuerpo antes de desaparecer en una nube de humo.<PAGE>"
"""Ah, que porra é essa, florzinha!?"" gritou a voz. ""Tínhamos um acordo! Pensei que cê quisesse morrer!""","""Ah, what the hell, florzinha!?"" screamed the voice. ""We had a deal! I thought you wanted to die!""","""Eh, ¡¿qué cojones pasa, Florecilla?!"", gritó la voz. ""¡Teníamos un trato! ¡Pensaba que querías morir!""."
""" A vovó disse ... Não dá pra morrer ainda ...""","""G-Grandma said... Can't die yet...""","""L-la abuela dijo... No puedo morir todavía...""."
"Uma breve imagem de sua avó, ensanguentada e disforme, passou diante de seus olhos. Ela viu a Sombra que a matou e ouviu sua risada de escárnio, então fechou os olhos e forçou a imagem de sua mente.","A brief image of her grandmother, bloodied and broken, flashed before her eyes. She saw the Shade that had killed her and heard its mocking laughter, then closed her eyes and forced the image from her mind.","Una imagen escueta de su abuela, rota y ensangrentada, pasó un instante ante sus ojos. Vio a la Sombra que la había asesinado y oyó su risa burlona. Entonces, cerró los ojos y expulsó esa imagen de su cabeza."
"Todo o seu corpo tremia de raiva. Quando ela abriu os olhos novamente, eles queimavam brilhantemente em vermelho.","Her whole body was quaking with rage. When she opened her eyes again, they burned bright red. ","Todo su cuerpo estaba temblando de rabia. Cuando volvió a abrir sus ojos, ardían con un rojo reluciente. "
"""Aquela coisa levou minha avó. Eu tenho que matá-la antes de morrer.""","""That thing took my grandmother. I have to kill it before I die.""","""Esa cosa me ha arrebatado a mi abuela. Tengo que matarla antes de morir""."
"Kainé olhou para baixo e viu um padrão misterioso—o padrão das Sombras—queimando em seu braço esquerdo.","Kainé glanced down and saw a mysterious pattern—the pattern of the Shades—burn itself into her left arm.","Kainé miró hacia abajo y vio una marca misteriosa, la de las Sombras, grabándose a fuego en su brazo izquierdo."
"""Bem, eu tô real surpreso"", disse a voz alegremente. ""Olha só isso, florzinha! Acho que você e eu vamos ser bons amigos agora.""","""Well, I'll be damned,"" said the voice cheerfully. ""Look at that, florzinha! I think you and me are gonna be good friends now.""","""Vaya, que me aspen"", dijo la voz con alegría. ""¡Fíjate, Florecilla! Creo que vamos a ser buenos amigos a partir de ahora""."
"Kainé observava atentamente seu braço. Quanto mais emocional se sentia, mais as letras pareciam prontas para perfurar sua pele e começar a infectar o resto do seu corpo. Agora, o braço claramente tinha uma vontade própria.","Kainé stared intently at her arm. The more emotional she felt, the more the letters seemed ready to puncture her skin and begin infecting the rest of her body. The arm clearly had a will of its own now.","Kainé miró fijamente y con atención su brazo. Cuanto más conmovida se sentía, más dispuestas parecían las letras a perforar su piel y comenzar a infestar el resto de su cuerpo. Era evidente que el brazo tenía ahora voluntad propia."
"""P-para. Preciso parar...""","""S-stop. Gotta stop...""","""P-para. Tienes que parar...""."
"Enquanto segurava o braço esquerdo, Kainé respirou fundo e tentou se acalmar.","Holding her left arm in her right, Kainé took a deep breath and tried to calm herself.","Mientras sujetaba su brazo izquierdo, Kainé inspiró profundamente e intento calmarse."
"""Fala sério, não luta contra isso!"" implorou a voz. ""Ódio é meu prato favorito, e eu tô <FONT=ITALIC>com fome!</FONT> <STOP>Extravasa! Sente a raiva! Queime com o fogo da vingança! Sede de sangue, e então vá lá e—""","""Come on, don't fight it!"" pleaded the voice. ""Hate's my favorite dish, and I'm <FONT=ITALIC>hungry!</FONT> <STOP>Let it go! Feel the anger! Burn with the fire of revenge! Thirst for blood, then go out there and—""","""¡Venga, no te resistas!, suplicó la voz. ""¡El odio es mi plato favorito y tengo un <FONT=ITALIC>hambre</FONT> de muerte! <STOP>¡Déjate llevar! ¡Siente la ira! ¡Quémate con el fuego de la venganza! Si tienes sed de sangre, sal ahí fuera y...""."
"""Cala a boca! Cala a boca e sai do meu corpo!""","""Shut up! Shut up and get the hell out of my body!""","""¡Cállate! ¡Cállate y sal de una puta vez de mi cuerpo!""."
"""<FONT=ITALIC>Seu</FONT> corpo? Oh, isso tá divertido, florzinha. Muito divertido. <STOP>Olha, por que você não morre de vez para eu ter esse corpo só para mim? O que me diz? Aposto que seus amigos em Aerie adorariam te ver morta!""","""<FONT=ITALIC>Your</FONT> body? Oh, that's rich, florzinha. Reeeeeeal rich. <STOP>Look, why don't you just up and die so I can have this body all to myself? What do you say? I bet those buddies of yours in The Aerie would love to see ya dead!""","""¿<FONT=ITALIC>Tu</FONT> cuerpo? Anda, qué graciosa, Florecilla. Menudas ocurrencias tienes. <STOP>Mira, ¿por qué no te mueres simplemente y así puedo tener este cuerpo todo para mí? ¿Qué te parece? ¡Seguro que a esos amiguitos tuyos del Nido del Águila les encantaría verte muerta!""."
"Kainé pegou um pedaço de vidro próximo e tentou serrar a parte infectada pela Sombra de seu braço. <STOP>Antes que ela pudesse, seu braço esquerdo escurecido agarrou seu pulso direito, esmagando-o. Kainé gritou e deixou cair o pedaço enquanto o som de ossos se quebrando enchia o ar.","Kainé grabbed a nearby shard of glass and tried to saw off the Shade-infected portion of her side. <STOP>Before she could, her darkened left arm grabbed her right wrist, crushing it. Kainé screamed and dropped the shard as the sound of bone crunching on bone filled the air.","Kainé cogió una esquirla de cristal e intentó despegar la parte de su costado infectada por la Sombra. <STOP>Antes de que pudiera hacer nada, su ensombrecido brazo izquierdo agarró su muñeca derecha y la aplastó. Kainé lanzó un grito y dejó caer la esquirla mientras el sonido del crujir de huesos resonaba en el aire."
"""Kah hah hah! Mas que meininha estúpida! Cê está possuída agora, florzinha! E não tem mais volta!""","""Kah hah hah! Stupid idiot girl! You're possessed now, florzinha! And there ain't no going back!""","""¡Ja, ja, ja! ¡Idiota, estúpida! ¡Ahora estás poseída, Florecilla! ¡Y ya no hay vuelta atrás!""."
"A voz riu novamente. Um longo e alto lamento que parecia não ter fim.","The voice laughed again. A loud, long wail that seemed to go on without end.","La voz volvió a reírse, un gemido largo y ruidoso que parecía no tener fin."
"""P-Possuída...?"" sussurrou Kainé.","""P-possessed...?"" whispered Kainé.","""¿P-poseída..."", susurró Kainé."
"""Sim. Possuída. Você e eu? Nós temos o que se poderia chamar de um acordo de compartilhamento de tempo. <STOP>Lembra como as pessoas costumavam pensar que você era um monstro? Bem, espere até verem você agora!""","""Yeah. Possessed. You and me? We got what you might call a timeshare arrangement. <STOP>Remember how folks used to think you were a freak? Well, wait'll they get a load of you now!""","""Sí. Poseída. ¿Tú y yo? Tenemos lo que podrías llamar un acuerdo de multipropiedad. <STOP>¿Recuerdas que la gente pensaba que eras un bicho raro? Bueno, ¡pues espera a que te vean ahora!""."
"Kainé olhou para cima com lágrimas nos olhos. O céu parecia menor de alguma forma. Mais escuro. <STOP><FONT=ITALIC>Isso é por causa daquela... Sombra? É assim que eles veem o mundo?</FONT><PAGE>","Kainé looked up, tears in her eyes. The sky seemed smaller somehow. Darker. <STOP><FONT=ITALIC>Is this because of that...Shade? Is this how they see the world?</FONT><PAGE>","Kainé alzó la vista, con lágrimas en sus ojos. De algún modo, el cielo parecía más pequeño. Más oscuro. <STOP><FONT=ITALIC>¿Esto es por culpa de esa... Sombra? ¿Así es como ven el mundo?</FONT><PAGE>"
"""Então, uh, escuta"", disse a voz. ""Eu sei que toda essa coisa de possessão parece um pouco repentina, mas não é tão ruim assim. Tem bastante pra você também.""","""So, uh, listen,"" purred the voice. ""I know this whole possession thing seems a bit sudden, but it ain't all bad. There's plenty in it for you, too.""","""Eh, a ver, escucha"", susurró la voz. ""Sé que toda esta historia de la posesión te ha pillado por sorpresa, pero no está tan mal. También tiene sus ventajas para ti""."
"""Eu sou uma criatura muito poderosa, florzinha. E agora esse poder pertence a você.""","""I'm a very powerful creature, florzinha. And now that power belongs to you.""","""Soy una criatura muy poderosa, Florecilla. Y ahora ese poder te pertenece""."
"""Você tem inimigos? Pessoas que você quer matar? Posso fazer isso acontecer! <STOP>Aquele garoto gordo que ficava te zoando? Aquela Sombra enorme que esmagou sua vovó? Vamos enfiar eles em seus próprios rabos! <STOP>Nunca mais vão te atormentar, florzinha! Nada de dor!"" ","""You got enemies? People you wanna kill? I can make it happen! <STOP>That little fat kid who kept picking on you? That big ol' Shade that squashed your granny? We'll wrap 'em up in their own assholes! <STOP>No more abuse for you, florzinha! No more pain!"" ","""¿Tienes enemigos? ¿Gente a la que quieras matar? ¡Yo puedo hacerlo posible! <STOP>¿El niño gordito que no paraba de meterse contigo? ¿Esa vieja y enorme Sombra que espachurró a tu abuelita? ¡Les daremos bien fuerte por el culo! <STOP>¡Se acabaron los abusos, Florecilla! ¡Se acabó el dolor!"". "
"""P-peraí,"" disse Kainé. ""Você é uma Sombra. Por que você me ajudaria a matar outra Sombra?""","""W-wait,"" said Kainé. ""You're a Shade. Why would you help me kill another Shade?""","""E-espera,"" dijo Kainé. ""Tú eres una Sombra. ¿Por qué ibas a ayudarme a matar a otra Sombra?""."
"""O quê, cê acha que eu sou algum tipo de racista? Algum assassino esnobe? <STOP>Não dou a mínima para quem você mata, docinho. Eu só quero beber da fonte.""","""What, ya think I'm some kind of racist? Some killin' snob? <STOP>I don't give a good goddamn who ya murder, honeypants. I just wanna drink from the well.""","""¿Qué, te piensas que soy un racista? ¿Un esnob de los asesinatos? <STOP>Me importa una puta mierda a quién te cargues, dulzura. Solo quiero calmar la sed""."
"Kainé considerou isso enquanto lutava para se levantar, o poder da Sombra percorrendo seu corpo. <STOP>A fumaça de sua casa estava se dissipando com o vento, e ela gostou da sensação da brisa fresca da noite em seu novo braço esquerdo. <PAGE>","Kainé considered this as she struggled to her feet, the power of the Shade coursing through her. <STOP>The smoke from her house was drifting away with the wind, and she enjoyed the way the cool evening breeze felt on her new left arm.<PAGE>","Kainé pensaba en ello mientras se levantaba y el poder de la Sombra fluía a través de su cuerpo. <STOP>El humo que provenía de su casa se estaba desvaneciendo en el aire, y encontró agradable la sensación de la fría brisa de la tarde sobre su nuevo brazo izquierdo.<PAGE>"
"Depois de uma longa pausa, a voz falou novamente.","After a long pause, the voice spoke up again.","Después de una larga pausa, la voz comenzó a hablar de nuevo."
"""Então, hum, que tal? Você e eu? Nós poderíamos nos divertir juntos. <STOP>Olha só, eu até posso cuidar da parte sangrenta se você não quiser...""","""So, uh, how 'bout it? You and me? We could have some good times together. <STOP>Look, I'll even take care of the bloody part if you don't want—""","""Bueno, entonces, ¿cómo lo ves? ¿Tú y yo? Podemos pasar buenos ratos juntos. <STOP>Mira, hasta puedo encargarme yo mismo del trabajo sucio si tú no quieres...""."
"""Foda-se, idiota"", murmurou Kainé. ""Eu vou lidar com a matança.""","""Fuck off, asshole,"" muttered Kainé. ""I'll handle the killing.""","""Que te jodan, gilipollas"", susurró Kainé. ""Yo me encargaré de matar""."
"""Kaaah hah hah!"" gritou a voz. ""Olha como ela vai! Oh, florzinha, vamos nos divertir <FONT=ITALIC>pra caralho</FONT>!""","""Kaaah hah hah!"" screamed the voice. ""Look at you go! Oh, florzinha, we're gonna have <FONT=ITALIC>so much fun!</FONT>""","""¡Ja, ja, ja!"", la voz se rio con fuerza. ""¡Menuda estas hecha! Ay, Florecilla, ¡nos lo vamos a pasar <FONT=ITALIC>muy bien</FONT>!""."
"""Então escuta, meu nome é Tyrann. E se você precisar de mim, estarei pendurado neste pedaço de carne que você chama de coração. <STOP>Agora se mexe! Quanto mais você matar, mais o seu coração fica podre e azedo... e eu gosto de coisas podres e azedas!""","""So listen, my name's Tyrann. And if you ever need me, I'll just be hanging out in this piece of meat you call a heart. <STOP>Now get to it! The more you kill, the more your heart turns rotten and sour...and I <FONT=ITALIC>like</FONT> rotten and sour!""","""Mira, me llamo Tyrann. Y si me necesitas, estaré rondando por este trozo de carne al que llamas corazón. <STOP>¡Ahora, al lío! Cuanto más mates, más se pudrirá y se amargará tu corazón..., ¡y a mí me <FONT=ITALIC>encanta</FONT> lo podrido y lo amargo!""."
"Kainé se viu concordando com a voz. ""Sim,"" ela disse. ""Sim, acho que isso pode funcionar.""","Kainé found herself nodding at the voice. ""Yeah,"" she said. ""Yeah, I think this can work.""","Kainé reparó en que asentía ante la voz. ""Sí"", dijo. ""Sí, esto podría funcionar""."
"""Vou encontrar essa Sombra e estrangulá-la em suas próprias tripas.""","""I'm gonna find that Shade, and I'm gonna strangle it with its own guts.""","""Voy a dar con esa Sombra y la voy a ahorcar con sus propias tripas""."
"""E quando terminar, farei o mesmo com você, Tyrann. Pode contar com isso.""","""And when I'm done, I'm gonna do the same to you, Tyrann. Count on it.""","""Y cuando acabe, haré lo mismo contigo, Tyrann. Te lo puedo asegurar""."
"""Hah!"" riu Tyrann. ""Eu já caguei coisas maiores que você, então boa sorte com isso. <STOP>Ah, e ei. Mais uma coisa. Agora, você e eu estamos compartilhando este corpo, mas se você acabar sem ódio? Se você... sabe? Ficar fofinha? <STOP>Então eu vou assumir tudo. ""<PAGE>","""Hah!"" laughed Tyrann. ""I've shit bigger than you, so good luck with that. <STOP>Oh, and hey. One more thing. Right now, you and me are sharing this body, but if you ever run out of hate? If you ever...you know? Go soft? <STOP>Then I'm gonna take over everything.""<PAGE>","""¡Ja"", se mofó Tyrann. ""Buena suerte, no eres más que una mota de estiércol. <STOP>Ah, y una cosa te voy a decir. Ahora compartimos cuerpo, pero ¿qué pasará cuando consumas todo tu odio? ¿Y si... te ablandas? <STOP>Entonces me apoderaré de todo"".<PAGE>"
"""Então continue matando, florzinha! E cuide das suas costas!""","""So keep on killin', florzinha! And watch your back!""","""¡Tú sigue sesgando vidas, Florecilla! ¡Y vigila tu espalda!""."
"A voz ficou mais fraca e gradualmente desapareceu. <STOP> Escondendo-se em algum lugar profundo dentro de Kainé.","The voice grew fainter and gradually faded away. <STOP>Fading to somewhere deep inside Kainé herself.","La voz se fue apagando poco a poco. <STOP>Desvaneciéndose en algún lugar en lo más profundo de Kainé."
"Kainé esperou até ter certeza de que a voz tinha ido embora, então balançou seu novo braço esquerdo algumas vezes. <FONT=ITALIC>Ele parece perfeitamente normal,</FONT> ela pensou. <FONT=ITALIC>Parece... meu.</FONT> <STOP>Desesperadamente, ela começou a cutucar e apalpar o novo membro, determinada a encontrar algo de errado com ele. <STOP>Ela não queria sentir que estava normal. Isso significaria que a criatura dentro dela já havia vencido.<PAGE>","Kainé waited until she was sure the voice was gone, then waved her new left arm around a few times. <FONT=ITALIC>It feels perfectly normal,</FONT> she thought. <FONT=ITALIC>It feels like...mine.</FONT> <STOP>Desperately, she began poking and prodding at the new limb, determined to find something wrong with it. <STOP>She didn't want it to feel normal. That would mean the creature inside her had already won.<PAGE>","Kainé aguardó hasta asegurarse de que la voz hubiera desaparecido por completo y agitó su nuevo brazo izquierdo varias veces. <FONT=ITALIC>No me resulta nada extraño,</FONT> pensó. <FONT=ITALIC>Es como si fuera... mío.</FONT> <STOP>Impulsivamente, comenzó a toquetear y a pellizcar la nueva extremidad para buscarle algún defecto. <STOP>No quería habituarse a él como si nada, pues ello habría supuesto la victoria de la criatura que albergaba en su interior.<PAGE>"
"<FONT-ITALIC>Não sou uma Sombra. Sou Kainé.</FONT>","<FONT-ITALIC>I am not a Shade. I am Kainé.</FONT>","<FONT-ITALIC>No soy ninguna Sombra. Soy Kainé.</FONT>"
"Repetindo esse mantra em sua mente, ela lentamente começou a vasculhar os destroços de sua casa, tendo cuidado para ignorar um certo ponto manchado de vermelho no canto. <STOP>Finalmente, depois do que parecia uma eternidade de trabalho desolador, ela encontrou o que estava procurando.","Repeating this mantra in her mind, she slowly began digging through the rubble of her house, being careful to ignore a certain red-stained spot in the corner. <STOP>Finally, after what seemed like an eternity of heartbreaking work, she found what she was looking for.","Repitiendo este mantra, comenzó a escarbar entre los escombros de su casa, procurando ignorar cierto rincón teñido de rojo. <STOP>Finalmente, tras una eterna y desoladora búsqueda, encontró lo que quería."
"Era a grinalda de Lágrimas da Lua.","It was the wreath of Lunar Tears.","La corona de Lágrimas lunares acabó en sus manos."
"Apesar de ter passado por todo tipo de sofrimento, as pétalas da grinalda ainda estavam tão brilhantes quanto antes.","Though it had been through hell and back, the garland's petals were as bright as ever. ","A pesar de todo lo acontecido, sus pétalos conservaban su típico resplandor. "
"Kainé começou a ajeitá-la em seu cabelo, mas então abaixou lentamente a grinalda e ficou olhando para ela.","Kainé started to place it in her hair, then slowly lowered the wreath and stared at it.","Kainé se dispuso a colocársela en el pelo, pero acabó bajándola lentamente para clavarle la mirada."
"<FONT=ITALIC>Desculpa, Vovó. Sinto muito.</FONT> <STOP><FONT=ITALIC>Mas não mereço mais usá-la.</FONT> <STOP><FONT=ITALIC>Tô possuída. Corrompida. Uma aberração.</FONT><LF><STOP><FONT=ITALIC>E, desta vez, não acho que tenha volta.</FONT>","<FONT=ITALIC>I'm sorry, Grandma. I'm so sorry.</FONT> <STOP><FONT=ITALIC>But I don't deserve to wear this anymore.</FONT> <STOP><FONT=ITALIC>I'm possessed. Corrupted. A freak.</FONT><LF><STOP><FONT=ITALIC>And this time, I don't think there's any going back.</FONT>","<FONT=ITALIC>Lo siento, abuela. Lo siento mucho.</FONT> <STOP><FONT=ITALIC>Ya no soy digna de esta corona.</FONT> <STOP><FONT=ITALIC>Estoy poseída. Corrupta. Soy un monstruo.</FONT><LF><STOP><FONT=ITALIC>Y, esta vez, creo que no hay vuelta atrás.</FONT>"
"Segurando as flores perto de seu peito, Kainé caiu no chão e soluçou. <STOP>Enquanto a noite gradualmente se transformava em amanhecer e as pessoas de Aerie se levantavam para seus afazeres diários, ela permaneceu naquela posição, como se as lágrimas pudessem de alguma forma lavar o horror que agora infectava seu mundo.","Holding the flowers to her heart, Kainé fell to the ground and sobbed. <STOP>As night gradually lightened to dawn and the people of The Aerie arose to their daily lives, she remained in that position, as if tears could somehow wash away the horror that now infected her world.","Tras apretar las flores contra su corazón, Kainé se derrumbó y rompió a llorar. <STOP>La madrugada dio paso al alba y el pueblo de Nido del Águila iniciaba su jornada, pero ella permaneció inmóvil en aquella posición, como si sus lágrimas pudieran limpiar el horror que asolaba su mundo."
"Então, já deve ter pegado os peixes, né?","So ya went and caught the fish, did ya?","Conseguiste atrapar el pez, ¿verdad?"
"Bem, já que você é tão insistente, acho melhor eu revelar um dos meus segredos de pesca.","Well, since yer so insistent, I suppose I better reveal one'a my fishin' secrets. ","Pues, en vista de tu interés, te voy a contar uno de mis secretos de pesca. "
"Er, Eu<FONT=ITALIC>estava</FONT> sendo insiste—","Er, <FONT=ITALIC>was</FONT> I being insiste—","Eh, ¿<FONT=ITALIC>tanto</FONT> interés he...?"
"Chega! Se você pegar dez Sardinhas, vou revelar um dos meus segredos mais guardados.","Enough! If ya catch ten sardines, I'll reveal one of my most closely-guarded secrets.","¡Ya está bien! Si consigues atrapar diez sardinas, te revelaré uno de mis secretos más preciados."
"Eu peguei o peixe que você queria, Vovô!","I got the fish you wanted, Pops!","¡Aquí traigo el pescado que me pidió, abuelo!"
"Então cê fez isso, então cê fez. Bem, aqui vai uma dica pra você...","So ya did, so ya did. Well then, here's a piece of advice for ya...","¡Vaya con el chavalín! Bien, escúchame con atención..."
"......","......","......"
".........",".........","........."
"............","............","............"
"...............","...............","..............."
"E aí? Suas habilidades de pesca melhoraram?","Well? Have your fishing fortunes improved?","¿Y bien? ¿Estás teniendo suerte?"
"Eu espero que sim—não fizemos nada além de pescar por dois dias inteiros!","I sure hope so—we've done nothing but fish for two whole days straight!","Más me vale... ¡No he dejado de pescar ni un segundo en dos días!"
"Vá! Pegue dez Sardinhas para mim e seja rápido!","Go! Catch me ten sardines, and be quick about it!","¡Venga! ¡Hazte con diez sardinas y no te duermas en los laureles!"
"Venha, meu aprendiz! É hora da sua próxima tarefa.","Come, my apprentice! It's time for your next assignment.","¡Vamos, aprendiz! Pasemos a tu próxima tarea."
"Espere, quando é que me tornei seu aprendiz?!","Wait, when did I become your apprentice!?","¿Cómo? ¡¿Desde cuándo soy su aprendiz?!"
"Não se preocupe com pouca coisa, jovenzinho. Agora, sua próxima tarefa é pegar sete Baiacus. Se você conseguir fazer isso, vou lhe dar outra das minhas inestimáveis lições.","Don't sweat the small stuff, young'un. Now, your next task is to catch seven blowfish. If you can do that, I'll part with another of my invaluable lessons.","Relájate, joven, que estamos empezando. Ahora tendrás que capturar siete peces globo. Si lo consigues, recibirás otra de mis inestimables lecciones."
"Era esse o peixe que você queria?","These the fish you wanted?","He conseguido los peces."
"Bom trabalho, meu aprendiz. Foi mesmo um bom trabalho.","Fine work, my apprentice. Fine work indeed.","Buen trabajo, aprendiz. Excelente."
"Bem, como prometido, aqui está a sua próxima lição.","Well, as promised, here's yer next lesson.","Lo prometido es deuda: escucha bien la lección."
"......","......","......"
".........",".........","........."
"............","............","............"
"...............","...............","..............."
"A propósito, velhote, o que você está fazendo com todos esses peixes?","By the way, Pops, what are you doing with all these fish?","Por cierto, abuelo, ¿qué hace con todo el pescado?"
"Hein? Tô comendo eles! O que mais você faria com essas deliciosas iguarias?","Eh? I'm eatin' 'em! What else would ya do with such tasty morsels?","¿Eh? ¡Pues me lo como! ¿Qué quieres que haga con estos manjares?"
"...Ah.","...Oh.","Vaya..."
"Você pegou os sete Baiacus para mim?","Did you catch seven blowfish for me?","¿Me has traído siete peces globo?"
"...Eh? Ah, certo. Próxima tarefa. Vai lá e pegue sete Trutas Arco-Íris para mim, por favor?","...Eh? Oh, right. The next assignment. Go and catch me seven rainbow trout, would ya?","¿Eh? Ah, sí. Sigamos pues. Consigue ahora siete truchas arcoíris, ¿de acuerdo?"
"Como um homem pode consumir tantos peixes sem se cansar dessa dieta?","How on earth can one man possibly consume this much fish without growing weary of his diet?","¿Cómo es capaz un hombre de comerse tanto pescado sin aburrirse de su dieta?"
"O que eu não como, eu vendo. Só que eu posso comer muito! Heh heh heh!<LF>Então anda logo, aprendiz! Os peixes não vão se pegar sozinhos!","What I don't eat, I sell. But I can eat a lot! Heh heh heh!<LF>Now get movin', apprentice! Them fish won't catch 'emselves!","Vendo lo que no consumo. ¡Pero tengo buen comer! ¡Je, je, je!<LF>¡Y ahora, andando, aprendiz! ¡Que los peces no van a venir solos!"
"Já peguei os peixes que você pediu.","I've got those fish you asked for.","¡Tengo los peces!"
"Nossa, pelas barbas do profeta! Essas Trutas Arco-Íris são um achado, viu! Cê tá ficando bom, jovem!","Well, scratch my back and call me Sally! Them's some rainbow trout, all right! Yer gettin' better, young one!","¡Si no lo veo, no lo creo! ¡Unas truchas arcoíris, sí señor! ¡Estás aprendiendo rápido, muchachote!"
"Mas essa próxima técnica é difícil de aprender. Melhor se preparar!","But this next technique is a tough one to learn. Best steel yourself!","Atento ahora, que vamos complicando el asunto. ¡Concéntrate!"
"......","......","......"
".........",".........","........."
"............","............","............"
"...............","...............","..............."
"Ótimo trabalho, filho! Bom trabalho mesmo. Sabia que você seria um bom aprendiz.","Fine work, son! Fine work indeed. I knew you'd make a good apprentice.","¡Muy bien, hijo! Vas de maravilla. Sabía que no me equivocaba contigo."
"*sufoco* Posso...descansar agora...?","*huff* Can I...take a break now...?","*jadeo* Necesito... descansar..."
"Não imaginava que a pesca fosse uma atividade tão cansativa.","I did not imagine fishing to be such an extreme activity.","Nunca imaginé que la pesca fuese una actividad tan agotadora."
"Certo! Tô esperando minhas sete Trutas Arco-Íris, viu!","Right-o! I'll be expectin' my seven rainbow trout, then!","¡Muy bien! ¡Pues aquí espero mis siete truchas arcoíris!"
"Você chegou longe, meu aprendiz, mas é agora que a pesca real começa!","You've come far, my apprentice—but now the real fishin' begins!","Has progresado mucho, aprendiz, pero ¡ahora pasaremos a la auténtica pesca!"
"Dessa vez tô com desejo de cinco Bremas. Vá pegá-los!","This time I got a hankerin' for five bream. Go catch 'em!","Ahora me apetecen cinco besugos. ¡A por ellos!"
"Desculpe por te deixar esperando. Aqui estão seus peixes.","Sorry to keep ya. Here's your fish.","Aquí tiene el pescado."
"Uau, chegou chegando hein! Sabia que você conseguiria! Passa eles pra cá, pivete!","Well, swab the deck and call me Ishmael! I knew ya could do it! Hand 'em over, whippersnapper!","¡Vaya, vaya! ¡Arriad la mayor, por allí resopla! ¡Sabía que lo lograrías! ¡Trae para acá, chavalín!"
"Acho que eles têm um valor de mercado bem maior do que as Trutas Arco-Íris que eu peguei antes...","I think these are worth more on the open market than the rainbow trout I caught earlier...","Me parece que estos se cotizan más que las truchas arcoíris de antes..."
"O valor não importa—é o que você aprende com a pesca que importa! Agora para de falar sobre dinheiro e comece a praticar!","Worth ain't squat—it's whatcha learn from the catch that matters! Now stop all this fool talk 'bout yer wallet and get to practicin'!","¡El valor es lo de menos! ¡Lo importante es lo que aprendes! ¡Ahora dejémonos de tanta cháchara y pasemos a la acción!"
"......","......","......"
".........",".........","........."
"......","......","......"
".........",".........","........."
".........",".........","........."
".........",".........","........."
