"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"Eu tenho que salvar a Yonah.","I have to save Yonah.",
"Aí está.","There we go.",
,,
"Tem algo ali...","Something's there...",
"Cuidado! A estátua de um chifre perdeu o controle!","Take heed! The one-horned statue has gone berserk!","¡Ten cuidado! ¡La estatua de un cuerno se ha vuelto loca!"
"Entendi!","Got it!","¡Entendido!"
"O de dois chifres parece intocável!","The two-horned one seems untouchable!","¡La estatua de dos cuernos parece intocable!"
"Ignore aquele! Você não pode quebrar sua guarda!","Ignore that one! You can't break its guard!","¡Ignora a esa! ¡No puedes romper su guardia!"
"Você parece contente. Qualquer um até pensaria que você está se divertindo.","You look pleased. A random passerby might even think you're enjoying yourself.","Pareces contento. Hasta podría decirse que te lo estás pasando bien."
"Bem, mas eu não tô!","Well, I'm not!","¡Pues no es así!"
"Vamos lá!","Come on!","¡Vamos!"
"Tire vantagem do atraso nos ataques dele!","Take advantage of the delay in its attacks!","¡Aprovecha la demora en sus ataques!"
"Ele não vai parar!","It won't stop!","¡No va a parar!"
"Pense nisso apenas como um teste de vontades! Ah, e tente não ser derrotado.","Think of it as but a test of wills! Oh, and do try not to lose.","¡Piensa que está poniendo tu voluntad a prueba! Ah, e intenta no perder."
"Este parece ter excelência no combate corpo-a-corpo. Mantenha certa distância!","This one excels at close combat. Keep your distance!","Esta es muy buena en el combate cuerpo a cuerpo. ¡Mantén la distancia!"
"Hora de atacar de longe, então!","Time to strike from afar, then!","¡Es el momento de atacar desde lejos!"
"Aquela estátua NÃO PARECE tá feliz.","That statue does NOT look happy.","Esta estatua no parece muy contenta."
"A raiva é somente uma forma de energia negativa. Nada a temer!","Anger is but a form of negative energy. Nothing to fear!","La ira es una forma de energía negativa. ¡Nada que temer!"
"Caramba, olha só todos eles!","Man, look at all of 'em!","¡Uf, míralos a todos!"
"Eles não são nada além de uma horda de lacaios sem rosto. <LF> Derrote-os!","They are naught but a horde of faceless minions.<LF>Swat them aside!","No son más que una horda de esbirros sin rostro. ¡Aplástalos!"
"O que está acontecendo, Weiss!?","What's going on, Weiss!?",
"Estas são... minhas memórias?","Is this...my memory?",
"Você está bem, Weiss? Aguente firme!","You all right, Weiss? Hang in there!",
"...Hmm. Parece que posso reaver meus poderes<LF>derrotando esses monstros.","...Hmm. It would seem I can regain my powers<LF>by defeating these monsters.",
"Acho que você não pode se aventurar aqui novamente.","I don't think you can venture in here again.",
"De todas as pessoas, por que minha única filha!?","Of all people, why my only daughter!?",
"Que droga, isso não está acontecendo!","Dammit, this isn't happening!",
"Yonah... Ela ainda é apenas uma criança...","Yonah... She's still just a child...",
"E pensar que eu ia usar você como lenha.","And to think I was going to use you for kindling.",
"Você deveria tratar seres mágicos onipotentes com mais respeito.","You really should treat omnipotent magical beings with more respect.",
"Por acaso tem alguém aqui?","Is anyone even here?","¿Hay alguien aquí?"
"Seu ataque deve ser implacável!","Your attack must be unrelenting!",
"Ela é vulnerável quando ataca! Ataque então!","She's vulnerable when she attacks! Strike then!",
"Nossos ataques estão falhando!","Our attacks are failing!",
"Maldição...","Goddammit...",
"Pare, idiota! Ataques mágicos são inúteis contra esse!","Stop, fool! Magical attacks are useless against this one!",
"Essa mulher certamente não deve ser subestimada!","This woman is certainly not to be trifled with!",
"Não baixe sua guarda!","Don't let your guard waver!",
"Minha esposa costumava fazer pão... Yonah nunca teve a chance de experimentar.","My wife used to make bread. ...Yonah never had a chance to try it.",
"Parece que há uma boa variedade de trigo para escolher.","It seems there's a fair assortment of wheat from which to choose.",
"Ela assa o próprio pão agora. Popola a ensinou.","She bakes her own bread now. Popola taught her how.",
"Será que eu vou gostar de alguns desses pães?","I wonder if there is any bread here that I might enjoy?",
"Está com mau funcionamento!","It's malfunctioning!","¡No funciona bien!"
"Sim, isso pode ser um problema.","Yeah, this might be a problem.","Sí, esto podría ser problemático."
"Máquina estúpida!","Stupid machine!","¡Máquina estúpida!"
"Boa! Continue assim!","Good! Keep after it!","¡Bien! ¡Sigue así!"
"Ah-ha! Eu SABIA que era uma armadilha! Maldita seja minha brilhante intuição.","Ah-ha! I KNEW this was a trap! Curse my brilliant intuition.",
"Aaaaaah!","Aaaaaah!","¡Aaah!"
"Yaaaaaahhh!","Yaaaaaahhh!","¡Yaaah!"
"Mas hey, pelo menos posso petrificar seus inimigos.<LF>Isso deve ajudar, certo?","But hey, at least I can petrify your enemies.<LF>That's gotta be some help right?","Lo siento. Mi mayordomo se preocupa mucho por mí, pero pedir algo así..."
"Não posso deixar você fazer isso sozinho, então estarei aqui se precisar de mim.","I can't let you do this on your own,<LF>so I'll be right here if you need me.","Bueno, que voy contigo. No puedo dejar que te encargues tú solo."
"Quem sabe meus olhos possam ser úteis pela primeira vez...","Maybe my eyes can be useful for once...","A lo mejor mis ojos pueden ser útiles por una vez."
"Eu petrificarei as páginas! Você dá o golpe final!","I'll petrify the pages! You strike the final blow!",
"Mas que droga! Não consigo ferir essa coisa!","Dammit! I can't hurt this thing!",
"Óh, destino! Será o fim para Grimório Weiss!?","O, fated day! Is this the end for Grimoire Weiss!?",
"Sim, se acalma, Weiss.","Yeah, calm down, Weiss.","Sí. Tranquilo, Weiss."
"Conseguimos colocar as mãos em todos os Versos Selados agora.","We've got our hands on all the Sealed Verses now.","Ahora ya nos hemos hecho con todos los Versos sellados."
"Tudo que resta é encontrar este Grimório Noir.","All that remains is to find this Grimoire Noir.","Lo único que nos queda es encontrar a ese tal Grimoire Noir."
"E, então, finalmente salvar Yonah.","Then we can finally save Yonah.","Y así podremos salvar Yonah de una vez."
"Quem são esses caras?","Who are these guys?",
"Eu não sei, mas eles parecem estar nos impedindo de entrar.","I do not know, but they appear to be preventing us from entering.",
"Que tipo de lugar é esse?","What manner of place is this?",
"Parece um cemitério...","Looks like a graveyard...",
"As lápides parecem não ter nomes.","The headstones seem to be lacking names.",
"Além disso, por que elas brilham como se fossem novas?","Also, why do they shine as if they were carved from the rock just yesterday?",
"...Não há nada aqui.","...There's nothing here.",
"Vamos nos apressar! Seremos enterrados na areia se ficarmos aqui por muito tempo.","Make haste! We shall be buried in sand if we remain here any longer.",
"Então isso era um cemitério, certo?","So this was a graveyard, eh?",
"Estranho... Todas as lápides parecem novas.","Strange... All the headstones look new.",
"Os lobos devem ter matado todas essas pessoas. Que destino cruel.","The wolves must have brought down all these people. What a cruel fate.",
"O que tem de tão estranho sobre essa outra cidade? Idioma diferente? Costumes diferentes?","What's so strange about this other town? Different language? Different customs?",
"Talvez mais do que sabemos. Que tipo de cidade se fecha para o mundo exterior?","Perhaps more than we know. What kind of city shuts itself off from the outside world?",
"Eu quero ajudar Popola, mas...","I want to help Popola, but...",
"Uma cidade trancada no deserto...","A town locked away in the desert...",
"Precisamos entrar para podermos encontrar um filtro de água.","We have to get in so we can find a water filter.",
"L-livro! Como se atreve! Eu nunca fui tratado com tanta falta de decência e—","B-book! How dare you! I have never been treated with such an utter lack of decency and—",
"Calma, Weiss. Vamos ver o que ela está planejando.","Easy, Weiss. Let's see what she's planning.",
"Talvez eu devesse ter estudado línguas quando era criança...","Maybe I should have studied languages when I was a kid...",
"Você poderia falar mil línguas e ainda assim falhar se não conhecer a cultura dos outros.","You could speak a thousand tongues and still fail if you lack knowledge of another's culture.",
"Fyra... Aguente firme... Preciso descansar...","Fyra... Hold on... I need to rest...",
"Essa garota deve ser extremamente patriota. Veja a entrega dela pelo bem do seu príncipe!","This girl must possess extreme patriotism. Look how she gives all for the sake of her prince!","Vaya patriotismo. ¡Fíjate cómo lo da todo por el bien de su príncipe!"
"Que diabos está acontecendo!?","The hell's going on!?",
"Vão fechar o portão! Mexam-se!","Go seal the gate! Move!",
"Alguém se certifica de que Yonah esteja segura!","Someone make sure Yonah's safe!",
"Não se preocupe! Eu irei buscá-la!","Don't worry! I'll go and get her!",
"Só não morra, beleza?","Just don't get yourself killed, all right?",
"Eu lidarei com as Sombras!","I'll deal with the Shades!",
"Vão fechar o portão! Mexam-se!","Go seal the gate! Move!",
"Ok!","Okay!",
"Eu não deixarei nenhum de vocês passar por mim!","I won't let any of you past me!","¡No dejaré que ninguno de vosotros me venza!"
"Vamos Devola. Depressa!","Go, Devola. Hurry!",
"Vamos lá! Continuem empurrando!","Come on! Keep pushing it!","¡Vamos! ¡Sigue así!"
"Não! Você deve pressionar o ataque!","No! You must press the attack!","¡No! ¡Debes presionar con el ataque!"
"Nossa magia não tem efeito!","Our magic has no effect!",
,,
,,
"Foi intenso. Não sei como que selaram essa coisa.","That was intense. No wonder they sealed that thing up.",
"Mesmo assim, não deveria ter sido nossa luta, em primeiro lugar.","Still, it should not have been our fight in the first place.",
"Isso é um fato. Vamos pegar o ladrão que sobreviveu e levá-lo de volta para Facade.","True enough. Let's grab the surviving bandit and take him back to Facade.",
"Caça de ovelhas!? Não existe trabalho ruim para você!","Sheep hunting!? There really is no task too immodest for you!",
"É muito mais difícil do que parece, Weiss. ...Esses miseraveizinhos são rápidos.","It's a lot harder than it sounds, Weiss. ...These little bastards are fast.",
"Então os apunhale com magia!","So smite them with magic!",
"Ah, droga!","Aw, crap!",
"O que é isso!? Sombras!?","What is it!? Shades!?",
"Você tá certo. Eu TENHO que usar magia!","You're right. I SHOULD use magic!",
"Poderia eu dar outra sugestão?","Might I make another suggestion?",
"O quê!?","What!?",
"Pare de gritar como um lunático toda vez que você descobre algo.","Stop yelling like a madman every time you come to a realization.",
"Você recebe muitos pedidos como esses, para viagens de compras inúteis?","Do you often get asked to handle such inane shopping trips?",
"Não acho que essas viagens sejam inúteis.","I don't think these trips are inane.",
"Eu sou um pai em um mundo definhando. Aceitarei qualquer trabalho que eu possa conseguir.","I'm a father in a dying world. I'll take whatever job I can get.",
"Todos têm dificuldades por aqui, logo, não tenho direito de reclamar.","Everyone has it tough around here, so I've no right to complain.",
"Eles me dão trabalho honesto e eu sou grato.","They give me honest work, and I'm grateful.",
"Entendo. Bem, então, continue com o bom trabalho!","I see. Well, then, keep up the good work!",
"Sim.","Yeah.",
"Ei.","Hey.",
"Sim?","Yes?",
"Você não é todo poderoso? Não pode, apenas... sabe? Usar magia para consertar este lugar?","Aren't you all-powerful? Can't you just...you know? Use magic to zap this place into shape?",
"O poder infinito do Grimório Weiss não deve ser usado para fins tão triviais!","The infinite power of Grimoire Weiss is not to be used for such trivial tasks!",
"Mas eu não tô pedindo muito.","I'm not asking for much.",
"Você que é o único encantado com trabalho duro e honesto!","You are the one so enamored with hard, honest work!",
"Realmente não existe nada que possa curar o Rabisco Negro?","Is there really nothing that can cure the Black Scrawl?",
"Nenhum medicamento feito pelo homem fará efeito contra essa doença.","No medicine in the works of man can hope to stand against it.",
"Mas tem que ter algo!","There has to be something!",
"Talvez exista um remédio para aliviar a dor por um tempo, mas nenhum pode verdadeiramente erradicar a doença.","Perhaps a drug exists to temporarily ease the pain, but none can truly eradicate the disease.",
"Mas que droga...","Dammit...",
"Mas se a lenda for real, então eu tenho a chave para salvar a menina!","But if the legend is true, then I hold the key to saving your girl!",
"Você está certo. Tenho que me apegar a isso.","You're right. I have to hold on to that.",
"Ha! Esse é o espírito!","Ha! That's the spirit!",
"Que uso possível tem essa semente?","What possible use is that bulb?",
"Você a planta no solo e o broto torna-se uma linda flor.","You plant it in the ground and it sprouts into a pretty flower.",
"Do processo botânico eu já sei! Apenas me pergunto onde alguém plantaria tal flor.","I am aware of the botanical process! I merely wonder where one would plant such a flower.",
"Tem um jardim ao lado da minha casa.","There's a garden at my place.",
"Yonah gosta de flores, então plantarei-a para ela quando chegar em casa.","Yonah likes flowers, so I'm gonna plant it for her when I get home.",
"Comida para uma refeição caseira... hmm?","Food for a home-cooked...meal, hmm?",
"Quer dizer alguma coisa?","You got something to say?",
"Oh, não! Não, não! Nadica de nada! La da dum da de...","Oh, no! No, no! Nothing at all! La da dum da de...",
"Olha, eu sei que a Yonah não é uma chef de quatro estrelas ou algo assim, mas ela coloca o coração nisso, e eu amo ela por isso.","Look, I know Yonah's not a four-star chef or anything, but she puts her heart into it, and I love her for it.",
"Só um verdadeiro idiota não apreciaria o esforço! Que tipo de pai você acha que eu sou!?","Only a real jerk wouldn't appreciate the effort!  What kind of father do you think I am!?",
"...Você me ouviu apontar algo assim?","...Did you hear me imply anything of the sort?",
"Acho que não.","I guess not.",
"Apenas... Bem... Boa sorte","Just... Well... Good luck",
"...Sim.","...Yeah.",
"Essa é uma quantia significativa de dinheiro.","That is a princely sum of money.",
"Vou dar um jeito.","I'll find a way.",
"Você deve fazer isso, senão não teremos como chegar na vila no topo do penhasco.","You must, elsewise we have no way to reach that cliffside village.",
"Não consigo acreditar em quão caras são as barras de ferro.","I can't believe how expensive iron bars are.",
"Coisas assim não são fabricadas há séculos.","Such things have not been manufactured in an age.",
"Então, de onde elas vêm?","So where do they come from?",
"A maioria delas escavadas de ruínas.","Excavated from ruins, most likely.",
"Pessoas fizeram essas coisas no passado?","People made these in the past?",
"Certamente.","Indeed.",
"Mas não há como fazê-las agora...","But there's no way to make them now...",
"Santo Deus, não.","Dear heavens, no.",
"Estranho...","Strange...",
"São vestígios do mundo antigo. Aqueles que as fizeram devem ter possuído grande conhecimento tecnológico.","They are remnants of the old world. Those who made them must have possessed great technological knowledge.",
"O conhecimento é inútil uma vez que você o esquece.","Knowledge is useless once you forget it.",
"Oh ho ho! Deveras verdade, muito verdade.","Oh ho ho! Quite true, quite true.",
"Ugh... Você assumiu um trabalho muito difícil desta vez.","Ugh... You have certainly taken on a rather trying job this time.",
"Oh, pare de reclamar.","Oh, quit moaning.",
"Imagino que esse ovo deva valer uma boa quantia se vendido a quem der o maior lance.","I imagine this egg would fetch quite a sum if you sold it to the highest bidder.",
"Não podemos fazer isso. Aquela senhora está esperando por ele.","We can't do that. The old woman is waiting for it.",
"Talvez devêssemos colocar nossa própria situação financeira à frente das preocupações de uma mulher idosa, hmmm?","Perhaps we should place our own financial situation ahead of the concerns of an elderly woman, hmmm?",
"Eu disse para você parar de reclamar.","I told you to quit moaning.",
"Ah...","Ah...",
"Ah, droga!","Ah, crap!",
"Isso não parece bom...","That did not sound good...",
"Acho que quebramos algo.","I think we broke something.",
"Bem, não há motivos para terminarmos a entrega agora. É melhor voltarmos e nos desculparmos.","Well, there is little point in finishing the delivery now. We had best go back and apologize.",
"... Sim, acho que sim.","...Yeah, I guess.",
"Sua Yonah certamente tem gostos...excêntricos.","Your Yonah certainly has some...eccentric tastes.",
"Ela sempre foi assim.","She's always been that way.",
"Mas se é isso que ela quer, então é isso que eu vou conseguir.","But if that's what she wants, then that's what I'll get.",
"Ser o guardião dela deve apresentar alguns desafios únicos.","Being her guardian must present some unique challenges.",
"Eu só preciso vê-la sorrir; então, tudo vale a pena.","I just need to see her smile; then it's all worth it.",
"Oh, não. Essa tarefa de novo não...","Oh, no. Not this task again...",
"Ficaremos bem. Só precisamos ir devagar e com calma.","We'll be fine. We just need to go slow and take it easy.",
"Eu sou uma criatura de talentos fenomenais, mas esses dois são fora da curva.","I am a creature of phenomenal talents, but those are two that escape me.",
"Bem, com certeza não vou deixar a Kainé lidar com isso.","Well, I'm sure as hell not going to let Kainé handle it.",
"De fato. Tenho certeza de que a linguagem vulgar da petulante reduziria nossa preciosa carga a poeira.","Indeed. I'm sure the hussy's foul language would reduce our precious cargo to dust.",
"Reclamem menos e andem mais.","Less bitching, more moving.",
"AINDA sem peixe!?","STILL no fish!?",
"Shhhhh! Você está assustando eles!","Shhhhh! You're scaring them away!",
"Ah. Eu...entendi.","Oh. I...I see.",
"A pesca bem-sucedida requer paciência, concentração, determinação, ambição...","Successful fishing requires patience, concentration, drive, ambition—",
"Shhhhh! Você está assustando eles!","Shhhhh! You're scaring them away!",
"Ah. ...Sim, entendi.","Oh. ...Yes, right.",
"Uma missão comercial, hein?","A trading mission, huh?",
"Tem algo lhe incomodando?","Is something the matter?",
"Não, é só que... Bem, eu nunca saí daqui antes.","No, it's just that... Well, I've never left here before.",
"Só tô aqui imaginando como é ver um lugar novo.","I'm just wondering what it's like to see a new place.",
"Algum dia espero levar Yonah em uma jornada como essa.","Someday I hope to take Yonah on a journey like this.",
"E algum dia você fará isso!","And someday you shall!",
"Eu vou. Tenho certeza disso.","I will. I'm sure of it.",
"Desta vez, vou ficar em silêncio! Porque esses peixes não terão ideia de que...","This time I shall be silent! Why, those fish will have no idea that─",
"Shhhh! Você está assustando eles!","Shhhh! You're scaring them away!",
"Ah. ...Certo.","Oh. ...Right.",
"......","......",
"Você está muito quieto, Weiss.","You're really quiet, Weiss.",
"Senão os peixes vão se assustar, não é mesmo?","The fish will be scared away otherwise, no?",
"Sim, mas... é estranho.","Yeah, but...it's just weird.",
"Posso falar livremente, então?","May I talk freely, then?",
"Não.","No.",
"Então o que você quer que eu faça!?","Then what would you have me do!?",
"Shhhhh! Você está assustando eles!","Shhhhh! You're scaring them away!",
"...Droga.","...Damn.",
"Talvez eu possa usar um pouco da minha magia para tirar os peixes da água.","Perhaps I could use some of my magic to scoop up the fish from the water.",
"Peraí, você consegue fazer isso?","Wait, you can do that?",
"Se eu puder visualizar onde estão os peixes, então sim.","If I can establish a line of sight with the fish, then yes.",
"...Você consegue vê-los?","...Can you see them?",
"...Não.","...No.",
"...De volta à pesca, então.","...Back to fishing, then.",
"...Com certeza.","...Indeed.",
"Uma bebida com uma cauda de lagarto parece ser impressionante!","A drink with a lizard's tail inside certainly sounds impressive!",
"Ha ha! Ela pode não parecer, mas depois de algumas bebidas, Popola é a mulher mais forte da terra.","Ha ha! She may not look it, but get a few in her, and Popola's the strongest woman in the land.",
"Certamente você está brincando!","Surely you jest!",
"Nenhuma brincadeira. Uma vez ela ficou tão bêbada que praticamente destruiu a loja. Derrubou uma parede e tudo.","No joke. Once she got so plastered that she practically destroyed the shop. Knocked down a wall and everything.",
"O álcool afeta Devola da mesma maneira?","Does alcohol affect Devola in the same manner?",
"Devola é mais sensível.","Devola's more of a lightweight.",
"Se ela tomar um pouco, começa a ficar um pouquinho... hum... amigável demais...","If she has even a little, she starts getting a bit too...um...friendly...",
"A Devola!? Sério!?","Devola!? For true!?",
"...Sério mesmo.","...Oh yeah.",
"O álcool é uma substância temível mesmo.","Alcohol is a fearsome chemical indeed.",
"Bem, nós o encontramos... mas parece que chegamos tarde demais.","Well, we found him...but it looks like we're too late.",
"Isso será difícil para o velho lidar.","This is gonna be hard for that old timer to deal with.",
"Sejam eles cachorro ou homem, nenhuma criatura viva pode escapar do seu destino final.","Be they dog or man, no living thing can escape their ultimate fate.",
"Isso inclui você, Weiss?","That include you, Weiss?",
"Mmm... Na verdade, nunca considerei essa questão.","Mmm... In truth, I have never considered the question.",
"Suponho que em algum momento eu possa simplesmente... desaparecer da existência.","I suppose at some point in time I may simply...wink out of existence.",
"Duvido que eu viva tempo suficiente para ver isso acontecer.","I doubt I'll live long enough to see that happen.",
"Um... Diga aí...","Um... Say there...",
"Sim?","Yeah?",
"Veja bem, se eu algum dia me encontrar... deixando este mundo...","See here, if I ever find myself...departing this world—",
"Oh, pare de ser mórbido, Weiss! ...Além disso, você não pode morrer. Você é feito de papel.","Oh, stop being morbid, Weiss! ...Besides, you can't die. You're made of paper.",
"É mesmo? ...Nunca tinha pensado nisso antes.","Indeed? ...I've never looked at it like that before.",
"Se eu puder...","If I may...",
"O que é?","What is it?",
"O que estamos fazendo aqui?","What are we doing here?",
"Estamos organizando todas essas coisas.","We're organizing all this stuff.",
"Deixe-me reformular. Isso é por causa do comerciante em treinamento, correto?","Let me rephrase myself. This is for the sake of the merchant in training, yes?",
"Sim.","Yes.",
"Então não seria mais apropriado ele cuidar de suas próprias coisas?","Then would it not be more appropriate for him to take care of his own belongings?",
"O cara está em um momento delicado, Weiss. Só estamos ajudando ele.","The man's in a pinch, Weiss. We're just helping him out.",
"Mal posso esperar pelo dia em que alguém mostre tamanha bondade para nós.","I yearn for the day when someone shows such kindness to us.",
"Que desperdício enorme de nosso tempo.","What a tremendous waste of our time.",
"Quem diria que o cara ficaria enjoado no mar?","Who knew the guy would get seasick?",
"Talvez da próxima vez ele possa tentar encontrar trabalho que não envolva o oceano.","Maybe next time he can try finding work that doesn't involve the ocean.",
"Talvez da próxima vez ele tente ficar sentado em casa sem fazer nada!","Maybe next time he'll try sitting at home and doing nothing!",
"É difícil acreditar que toda a cidade estava mentindo para ela...","It's hard to believe the entire town was lying to her...","Resulta difícil creer que toda la ciudad la tuviera engañada..."
"Aposto que suas intenções eram boas. Caso contrário, eles não teriam mantido a farsa por cinquenta anos.","I wager their intentions were good. Elsewise, they would not have carried on with the ruse for fifty years.","Debían tener buena intención o no habrían podido hacerlo durante tantos años."
"Isso também explica o porquê de eles encarregarem-na de manter o farol funcionando: para que a notícia da morte de seu amor não chegasse até ela.","It also explains why they tasked her with keeping the lighthouse running: so news of her love's demise would not reach her. ","Y, al endosarle el faro, no podía enterarse de la noticia del fallecimiento. "
"Talvez essa tenha sido a coisa mais gentil a se fazer...?","Maybe that really was the kind thing to do...?","Tal vez eso era lo que había que hacer, ¿no?"
"Entregar uma correspondência é mais difícil do que parece.","Delivering the mail is harder than it seems.",
"Mas não há outra maneira de se comunicar com pessoas que estão longe.","But it's not like there's another way to communicate with people over long distances.",
"Há muito tempo, havia muitas maneiras de se comunicar.","Long ago, there were many ways to engage in such communications.",
"As coisas devem ter sido realmente fáceis naquela época.","Things must have been really easy back then.",
"Sim, imagino que sim.","Yes, I imagine so.",
"Eu gostaria de poder falar com Yonah sempre que estivesse preocupado com ela.","I wish I could speak with Yonah whenever I was worried about her.",
"A menina nunca sai da sua mente, não é mesmo?","The girl is never far from your mind, is she?",
"Uma carta para Popola? Que interessante...","A letter for Popola? How interesting...",
"Você não está nem um pouco curioso sobre o conteúdo?","Are you not the least bit curious about the contents?",
"É problema dela, não meu. Não posso me preocupar com essas insignificâncias.","It's her business, not mine. I can't worry about inconsequential stuff like that.",
"""Insignificâncias""? Nossa, seu vocabulário melhorou ultimamente!","""Inconsequential""? My, your vocabulary has improved lately!",
"Popola me ensinou essa.","Popola taught me that one.",
"Talvez eu tenha subestimado essa mulher.","Perhaps I have underestimated this woman.",
"Tô morrendo de fome.","I'm starving.",
"Uma cidade desse tamanho deve ter algum tipo de restaurante por perto.","A city of this size must have some manner of eatery nearby.",
"Você quer tentar sua sorte nesse trabalho, Kainé?","You want to try your hand at this job, Kainé?",
"Cê tá falando sério? Porra nenhuma.","Are you serious? Hell no.",
"Ah! Vadias só servem para quebrar coisas, de qualquer forma.","Pah! Hussies are only good for breaking things, anyway.",
"Talvez eu comece com você.","Maybe I'll start with you.",
"Este é um jogo estranho.","This is one strange game.",
"Esta é uma cidade estranha.","This is one strange city.",
"Você me pegou nessa.","You got me there.",
"Ah, falando nisso...","Ah, speaking of which...",
"O que?","What?",
"Eu espero que você não tenha esquecido a mensagem.","I trust you have not forgotten the message.",
"Não...","No...",
"Essas regras são absolutamente ridículas!","These rules are absolutely preposterous!",
"Nós nem podemos dizer à pessoa o que queremos comprar! Nunca na minha vida vi tamanha tolice!","We cannot even tell that person what we wish to purchase! Never in my life have I seen such foolishness!",
"Ah, não é grande coisa.","Ah, it's no big deal.",
"Fala sério. Isso não te incomoda!?","Come now. This must bother you!?",
"Incomoda sim, mas acredito que eles tenham uma razão para isso. Algo significativo que nós simplesmente não entendemos ainda.","It does, but I trust they have a reason for it. Something meaningful that we just don't understand yet.",
"Isso é uma coisa muito mente aberta de se dizer. ...Você está se sentindo bem?","That is a very broad-minded thing to say. ...Are you feeling well?",
"Isso foi quase um elogio.","That was almost a compliment.",
"*Suspiro*","*Sigh*",
"O que houve?","What's wrong?",
"Como um filho pode trazer tanta desesperança para seus pais?","How can a son bring so much despair to his parents?",
"Ele parece não compreender a dor que causou a eles. É deplorável!","He seems completely ignorant of the pain he has brought them. It's deplorable!",
"Eu adoro quando você soa como um velho rabugento, Weiss.","I love it when you sound like a grumpy old man, Weiss.",
"Talvez eu soe assim só porque existo desde tempos imemoriais!","Perhaps I only sound that way because I have existed since time immemorial!",
"E quantos anos você tem, então?","How old are you, anyway?",
"Mmm... Sabe, não tenho certeza exata.","Mmm... You know, I'm not exactly sure.",
"Dizem que a perda de memória é um sinal de velhice.","They say memory loss is a sure sign of old age.",
"Aquela pobre família...","That poor family...",
"Ele realmente acha que vai ser perdoado só por dar uma pele pra ela?","Does he really think she'll forgive him if he just gives her a fur?",
"Isso parece, de certa forma, materialista.","It does seem somewhat materialistic.",
"Cês tão falando sério? Quando alguém me dá algo de graça, eu fico feliz como um pinto no lixo!","Are you guys for real? When someone gives me something for free, I'm happy as a pig in shit!",
"Este mundo seria muito mais simples se só existissem Kainés nele.","This world would be a great deal simpler if nothing but Kainés lived in it.",
"E eu vou fingir que isso é um elogio.","I'll pretend that's a compliment.",
"Tem alguma receita escrita em você, Weiss?","Do you have any recipes written inside you, Weiss?",
"Como você se atreve a me comparar com um livro de receitas comum! Não há espaço dentro das minhas páginas para assuntos tão triviais.","How dare you compare me to a common cookbook! There is no room within my pages for such trivial matters.",
"Que amor! Esse homem claramente foi enfeitiçado por seu amante.","Such affection! This man has clearly been entranced by his lover.",
"Se me permite dizer, acho que ele está sendo manipulado.","If you ask me, I think he's being played.",
"Hmm? O que você quer dizer?","Hmmm? Whatever do you mean?",
"Ha! Talvez isso seja uma daquelas coisas que um grimório mágico simplesmente não entende.","Ha! Maybe this is one of those things that a magical grimoire just can't understand.",
"Ridículo! Não há nada além do meu conhecimento!","Ridiculous! There is nothing beyond my knowledge!",
"Heh. Deve ser bom.","Heh. Must be nice.",
"Você acha possível que este homem esteja sendo enganado pela amante?","Do you think it possible that this man is being deceived by his lover?",
"Sim, acho possível.","Yeah, I think it possible.",
"Então vamos informá-lo imediatamente!","Then we shall inform him at once!",
"...Acho melhor não.","...We'd better not.",
"Por que não!? Você finalmente encontrou alguém que não está disposto a ajudar?","Why not!? Have you finally found someone you are unwilling to aid?",
"Relacionamentos são...complicados. Eu sei que é difícil de entender, mas...","Relationships are...complicated. I know it's hard to understand, but—",
"Não há nada no mundo que Grimório Weiss não possa entender!","There is nothing in the world that Grimoire Weiss cannot understand!",
"É, sei...","Yeah, yeah...",
"É do meu conhecimento dizer que juventude é apenas um sinônimo para estupidez!","It is my experience that youth is simply a synonym for stupidity!",
"Ah, fala sério! Ele só quer proteger sua cidade. Acho isso legal.","Oh, come on! He just wants to protect his city. I think it's nice.","¡Venga, hombre! Tan solo quiere proteger su ciudad. A mí me parece bonito."
"Oh, sim. Sim, isso realmente é bom.","Oh, yeah. Yeah, that's really great.",
"O quê? Não era você a guardiã da sua aldeia, Kainé?","What? Weren't you the guardian of your village, Kainé?",
"Sim, mas... Olha, o que posso dizer agora, é... Não fale comigo.","Yeah, but... Look, all I'm saying is... Don't talk to me.",
"Sua boca está muito cheia de areia para formular uma resposta rude!?","Is your mouth too full of sand to formulate a crude response!?",
"Livro, você quer morrer?","Book, do you wanna die?",
"Você não tem medo dessas Sombras?","Do you not fear these Shades?","¿No te asustan esas Sombras?"
"É claro! Seria estúpido não ter medo.","Of course! I'd be stupid not to.","¡Pues claro! Sería estúpido si no les tuviera miedo."
"Mas tenho que salvar Yonah, não importa como.","But I have to save Yonah, no matter what.","Pero tengo que salvar a Yonah como sea."
"Entendi. Então não vou tentar impedi-lo.","I see. Then I won't try to stop you.","Ya veo. Entonces, no intentaré detenerte."
"Você é um bom ouvinte para um idoso, Weiss.","You're a pretty good listener for such an old-timer, Weiss.","Para ser un viejales se te da muy bien escuchar, Weiss."
"Bah! Deveria me sentir ofendido!","Bah! I should be offended!","¡Bah! ¡Debería sentirme ofendido!"
"Eu não sabia que Sombras podiam ficar tão grandes!","I didn't know Shades could get that big!","¡No sabía que las Sombras podían hacerse tan grandes!"
