"Controles","Pressione {01C280} para atacar e {01C298} para defender.","Controls","Press {01C280} to attack and {01C298} to defend.","Controles","Pulsa {01C280} para atacar y {01C298} para defender."
,"A atribuição em lote não pode ser realizada, pois as mesmas palavras já foram aplicadas a todas as armas.",,"Batch assignment impossible as the same words are already applied to all weapons.",,"Ya se han aplicado las mismas palabras a todas las armas y no se puede realizar la asignación de lotes."
,"A atribuição em lote não pode ser realizada, pois as mesmas palavras já foram aplicadas a todas as magias.",,"Batch assignment impossible as the same words are already applied to all magic.",,"Ya se han aplicado las mismas palabras a toda la magia y no se puede realizar la asignación de lotes."
,"A atribuição em lote não pode ser realizada, pois as mesmas palavras já foram aplicadas a todas as artes marciais.",,"Batch assignment impossible as the same words are already applied to all martial arts.",,"Ya se han aplicado las mismas palabras a todas las artes marciales y no se puede realizar la asignación de lotes."
,,,,,
,"Descartar <ITEM>?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Discard <ITEM>?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Descartar <ITEM>?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O jogo está sendo instalando no momento.<LF>Não é possível prosseguir no jogo até que a instalação termine.<LF>Deseja suspender o jogo e ir para a tela inicial?<LF>Observe que isso resultará na perda de dados não salvos.<LF><LF><ALT=-1>Sim</LIST><LF><@ALT=-1>Não</LIST>",,"The game is currently installing.<LF>You cannot proceed any further in the game until installation finishes.<LF>Would you like to suspend the game and go to the title screen?<LF>Note that doing so will result in the loss of any unsaved data.<LF><LF><ALT=-1>Yes</LIST><LF><@ALT=-1>No</LIST>",,"La instalación del juego está en curso.<LF>No puedes continuar hasta que la instalación finalice.<LF>¿Quieres suspender la partida e ir a la pantalla de título?<LF>Ten en cuenta que perderás todos los datos que no hayas guardado.<LF><LF><ALT=-1>Sí</LIST><LF><@ALT=-1>No</LIST>"
,"Um novo arquivo salvo foi desbloqueado.<LF>Você ficará temporariamente incapaz de usar os dados salvos até este ponto.",,"A new save file has been unlocked.<LF>Your save data up to this point will be temporarily unusable.",,"Se ha desbloqueado un nuevo archivo de guardado.<LF>No podrás usar temporalmente los datos guardados hasta este punto."
,"A opção de iniciar um novo jogo foi temporariamente desativada.",,"The option to start a new game has been temporarily disabled.",,"La opción para comenzar una partida nueva se ha deshabilitado temporalmente."
,"Alguns comandos não foram atribuídos.<LF>Salvar esta configuração mesmo assim?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Some commands have not been assigned.<LF>Save this configuration anyway?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"No se han asignado algunos comandos.<LF>¿Guardar esta configuración de todos modos?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Visite a casa dessa mulher para adquirir uma nova arma.",,"Visit that woman's house to acquire a new weapon.",,"Visita la casa de esa mujer para conseguir un arma nueva."
,"A atribuição em lote não pode ser realizada, pois nenhuma palavra foi aplicada.",,"Batch assignment impossible as no words have been applied.",,"No se puede realizar la asignación de lotes porque no se ha aplicado ninguna palabra."
,"A atribuição de palavras em lote pode ser realizada por meio das telas de lista individuais<LF>para magia, armas e artes marciais.",,"The batch assignment of words can be done via the individual list screens<LF>for magic, weapons, and martial arts.",,"Puedes realizar la asignación de lotes de palabras a través de las pantallas individuales<LF>de listas de magia, armas y artes marciales."
,"Atribuição de palavras em lote concluída.",,"Batch assignment of words complete.",,"Se ha completado la asignación de lotes de palabras."
,"Esta chave não pode ser atribuída.",,"This key cannot be assigned.",,"No puedes asignar esta tecla."
"Sobreposição de Controles","<<KEYCONF_ACT>> já está atribuído a <KEYCONF_PREV>.<LF>Reatribuí-lo a <KEYCONF_NEXT>?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>","Overlapping Controls","<<KEYCONF_ACT>> is already assigned to <KEYCONF_PREV>.<LF>Reassign it to <KEYCONF_NEXT>?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>","Comandos coincidentes","Ya has asignado <<KEYCONF_ACT>> a <KEYCONF_PREV>.<LF>¿Reasignarla a <KEYCONF_NEXT>?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O menu do sistema ainda não foi atribuído.<LF>Atribua o menu do sistema a uma chave.",,"The system menu has yet to be assigned.<LF>Please assign the system menu to a key.",,"Todavía no has asignado el menú del sistema.<LF>Por favor, asígnalo a una tecla."
,"Continuar configuração?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Continue configuration?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Proseguir con la configuración?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Salvar as configurações atuais?<LF>Certos controles serão otimizados para o tipo de modo de controle selecionado.<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Save the current settings?<LF>Certain controls will be optimized for the selected type of control scheme.<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Guardar estos ajustes?<LF>Algunos controles se optimizarán para el tipo de modo de control seleccionado.<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"レベルアップ！",,"レベルアップ！",,,
,,,,,
,,,,,
"レベルアップ！",,"レベルアップ！",,,
,,,,,
,,,,,
,"Agora você pode pressionar {01C282} para Explosão Sombria",,"You can now press {01C282} for Dark Blast.",,"Ahora puedes pulsar {01C282} para ejecutar Explosión oscura."
,"Agora você pode pressionar {01C281} para Execução Sombria.",,"You can now press {01C281} for Dark Execution.",,"Ahora puedes pulsar {01C281} para ejecutar Ejecución oscura."
,"Agora você pode pressionar {01C281} para Mão Sombria.",,"You can now press {01C281} for Dark Hand.",,"Ahora puedes pulsar {01C281} para ejecutar Mano oscura."
,"Agora você pode pressionar {01C281} para Lança Sombria.",,"You can now press {01C281} for Dark Lance.",,"Ahora puedes pulsar {01C281} para ejecutar Lanza oscura."
"<NIER> recuperou seu poder!","Agora você pode usar Explosão Sombria","<NIER> regained his power!","You can now use Dark Blast.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Explosión oscura."
"<NIER> recuperou seu poder!","Agora você pode usar Lança Sombria.","<NIER> regained his power!","You can now use Dark Lance.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Lanza oscura."
"<NIER> recuperou seu poder!","Agora você pode usar Mão Sombria.","<NIER> regained his power!","You can now use Dark Hand.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Mano oscura."
"<NIER> recuperou seu poder!","Agora você pode usar Fantasma Sombrio.","<NIER> regained his power!","You can now use Dark Phantasm.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Fantasma oscuro."
,"Agora você pode pressionar {01C282} para Explosão Sombria",,"You can now press {01C282} for Dark Blast.",,"Ahora puedes pulsar {01C282} para ejecutar Explosión oscura."
"Você ouve algo quebrar.",,"You hear something break.",,"Oyes algo que se rompe.",
,"Aproxime-se de sua presa caída e pressione {017E} para coletar materiais úteis.",,"Approach your fallen prey and press {017E} to collect any useful materials. ",,"Acércate al objetivo derrotado y pulsa {017E} para recoger materiales útiles. "
,"Você ganhou um mapa.",,"Obtained a map.",,"Has obtenido un arma."
,"Uma força misteriosa bloqueia seu progresso.",,"A mysterious force blocks your progress.",,"Una fuerza misteriosa te impide avanzar."
"Pedir ajuda ao livro misterioso?","<ALT=2400>Sim</ALT><LF><ALT=-1,<CB=REPEAT_QUESTION>>Não</ALT>","Ask the mysterious book for assistance?","<ALT=2400>Yes</ALT><LF><ALT=-1,<CB=REPEAT_QUESTION>>No</ALT>","¿Pedirle ayuda al libro misterioso?","<ALT=2400>Sí</ALT><LF><ALT=-1,<CB=REPEAT_QUESTION>>No</ALT>"
,"O livro misterioso se juntou a você!",,"The mysterious book joined you!",,"¡El libro misterioso se ha unido a ti!"
,"O menu principal (pressione {01C285} para abri-lo) foi atualizado.",,"The main menu (opened by pressing {01C285}) has been updated.",,"El menú principal (pulsa {01C285} para abrirlo) se ha actualizado."
,"Agora você pode pressionar {01C281} para usar Lança Sombria.",,"You can now press {01C281} for Dark Lance.",,"Ahora puedes pulsar {01C281} para ejecutar Lanza oscura."
"<NIER> recuperou seu poder!","Agora você pode usar Redemoinho Sombrio.","<NIER> regained his power!","You can now use Dark Whirlwind.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Remolino oscuro."
"<NIER> recuperou seu poder!","Agora você pode usar Gula Sombria.","<NIER> regained his power!","You can now use Dark Gluttony.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Voracidad oscura."
"<NIER> recuperou seu poder!","Agora você pode usar Muro Sombrio.","<NIER> regained his power!","You can now use Dark Wall.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Muro oscuro."
"<NIER> recuperou seu poder!","Agora você pode usar Execução Sombria.","<NIER> regained his power!","You can now use Dark Execution.","¡<NIER> ha recuperado su poder!","Ahora puedes usar Ejecución oscura."
,"Você tem que eliminar a ameaça mais próxima primeiro!",,"You must dispatch the nearby threat first!",,"¡Primero tienes que acabar con la amenaza cercana!"
,"Arma aprimorada!",,"Weapon upgraded!",,"¡Arma mejorada!"
,"Você obteve uma vara de pesca e <TEXT>.",,"Obtained: fishing rod and <TEXT>.",,"Has obtenido una caña de pescar y <TEXT>."
,"Há um buraco de fechadura com uma marca indicando ""Lua"" aqui.",,"There's a keyhole marked ""Moon"" here.",,"Aquí hay un ojo de cerradura con una marca que indica ""luna""."
,"Há um buraco de fechadura com uma marca indicando ""Estrela"" aqui.",,"There's a keyhole marked ""Star"" here.",,"Aquí hay un ojo de cerradura con una marca que indica ""estrella""."
,"Há um buraco de fechadura com uma marca indicando ""Luz"" aqui.",,"There's a keyhole marked ""Light"" here.",,"Aquí hay un ojo de cerradura con una marca que indica ""luz""."
,"Há um buraco de fechadura com uma marca indicando ""Trevas"" aqui.",,"There's a keyhole marked ""Darkness"" here.",,"Aquí hay un ojo de cerradura con una marca que indica ""oscuridad""."
,"Código de ativação do elevador obtido.",,"Obtained the elevator activation code.",,"Has obtenido el código de activación del ascensor."
,"Um novo documento foi obtido.",,"Obtained a new document.",,"Has obtenido un documento nuevo."
,"Use o menu de Comando para dar ordens aos Mascarados.",,"Use the Orders menu to give orders to the Masked People.",,"Usa el menú de órdenes para dar órdenes al Pueblo enmascarado."
,"Você não pode voltar a partir deste ponto. Continuar?<LF><LF><ALT=-1,<CB=EID_6000_a0005_End01>>Sim</ALT><LF><ALT=-1,<CB=EID_6000_a0005_End02>>Não</ALT>",,"You cannot turn back from this point. Continue?<LF><LF><ALT=-1,<CB=EID_6000_a0005_End01>>Yes</ALT><LF><ALT=-1,<CB=EID_6000_a0005_End02>>No</ALT>",,"No podrás volver a partir de este punto. ¿Continuar?<LF><LF><ALT=-1,<CB=EID_6000_a0005_End01>>Sí</ALT><LF><ALT=-1,<CB=EID_6000_a0005_End02>>No</ALT>"
,"Agora você pode usar Espadas e Lanças de duas mãos.",,"You may now use two-handed swords and spears.",,"Ahora puedes usar espadas y lanzas a dos manos."
,"Grimório Weiss perdeu todos os seus poderes.",,"Grimoire Weiss has lost all of his powers.",,"Grimoire Weiss ha perdido todos sus poderes."
,"Espada de duas mãos obtida, <ITEM>.",,"Obtained the two-handed sword, <ITEM>.",,"Has obtenido la espada a dos manos <ITEM>."
"Entrar no sonho deste morador?","<ALT=-1,<CB=C_FOREST_FIELD_DREAM_CB_End01>>Sim</ALT><LF><ALT=-1,<CB=C_FOREST_FIELD_DREAM_CB_End02>>Não</ALT>","Enter this villager's dream?","<ALT=-1,<CB=C_FOREST_FIELD_DREAM_CB_End01>>Yes</ALT><LF><ALT=-1,<CB=C_FOREST_FIELD_DREAM_CB_End02>>No</ALT>","¿Entrar en el sueño de este aldeano?","<ALT=-1,<CB=C_FOREST_FIELD_DREAM_CB_End01>>Sí</ALT><LF><ALT=-1,<CB=C_FOREST_FIELD_DREAM_CB_End02>>No</ALT>"
,"Espada de uma mão obtida, <ITEM>.",,"Obtained the one-handed sword, <ITEM>.",,"Has obtenido la espada a una mano <ITEM>."
,"<SE=88182>Oh, mestre do teste, é hora de passar para a próxima regra.",,"<SE=88182>O master of the trial, it is time to devote yourself to the next rule.",,"<SE=88182>Oh, maestro de la prueba, es hora de que te entregues a la siguiente regla."
,"A porta é selada por uma força misteriosa...",,"The door is sealed by a mysterious force...",,"Una fuerza misteriosa está sellando la puerta..."
,"Danifique o alvo antes do tempo acabar!",,"Damage the target before time runs out!",,"¡Inflige daño al objetivo antes de que se acabe el tiempo!"
,"<ALT=-1,<CB=D_FOREST_FIELD_DREAM_CB_End01>>Ouvir</ALT><LF><ALT=-1,<CB=D_FOREST_FIELD_DREAM_CB_End02>>Recusar</ALT>",,"<ALT=-1,<CB=D_FOREST_FIELD_DREAM_CB_End01>>Listen</ALT><LF><ALT=-1,<CB=D_FOREST_FIELD_DREAM_CB_End02>>Decline</ALT>",,"<ALT=-1,<CB=D_FOREST_FIELD_DREAM_CB_End01>>Escuchar</ALT><LF><ALT=-1,<CB=D_FOREST_FIELD_DREAM_CB_End02>>Rechazar</ALT>"
,"Você obteve o item reparado <TEXT>.",,"Obtained the repaired <TEXT>.",,"Has obtenido el objeto reparado <TEXT>."
"Pedir ajuda ao livro misterioso?","<ALT=2400>Sim</ALT><LF><ALT=-1,<CB=REPEAT_QUESTION>>Não</ALT>","Ask the mysterious book for assistance?","<ALT=2400>Yes</ALT><LF><ALT=-1,<CB=REPEAT_QUESTION>>No</ALT>","¿Pedirle ayuda al libro misterioso?","<ALT=2400>Sí</ALT><LF><ALT=-1,<CB=REPEAT_QUESTION>>No</ALT>"
"Pedir ajuda a Grimório Weiss?","<ALT=-1,<CB=SEID_1320_S0130_Select00_Yes>>Sim</ALT><LF><ALT=-1,<CB=SEID_1320_S0130_Select00_No>>Não</ALT>","Ask Grimoire Weiss for help?","<ALT=-1,<CB=SEID_1320_S0130_Select00_Yes>>Yes</ALT><LF><ALT=-1,<CB=SEID_1320_S0130_Select00_No>>No</ALT>","¿Pedir ayuda a Grimoire Weiss?","<ALT=-1,<CB=SEID_1320_S0130_Select00_Yes>>Sí</ALT><LF><ALT=-1,<CB=SEID_1320_S0130_Select00_No>>No</ALT>"
"Pedir ajuda a Grimório Weiss?","<ALT=-1,<CB=SEID_1320_S0130_Select01_Yes>>Sim</ALT><LF><ALT=-1,<CB=SEID_1320_S0130_Select01_No>>Não</ALT>","Ask Grimoire Weiss for help?","<ALT=-1,<CB=SEID_1320_S0130_Select01_Yes>>Yes</ALT><LF><ALT=-1,<CB=SEID_1320_S0130_Select01_No>>No</ALT>","¿Pedir ayuda a Grimoire Weiss?","<ALT=-1,<CB=SEID_1320_S0130_Select01_Yes>>Sí</ALT><LF><ALT=-1,<CB=SEID_1320_S0130_Select01_No>>No</ALT>"
"Voltar para a entrada da cidade?","<ALT=-1,<CB=EID_1410_a0065g_021_Start>>Sim</ALT><LF><ALT=-1,<CB=EID_1410_a0065g_022_Start>>Não</ALT>","Return to the town entrance?","<ALT=-1,<CB=EID_1410_a0065g_021_Start>>Yes</ALT><LF><ALT=-1,<CB=EID_1410_a0065g_022_Start>>No</ALT>","¿Volver a la entrada de la ciudad?","<ALT=-1,<CB=EID_1410_a0065g_021_Start>>Sí</ALT><LF><ALT=-1,<CB=EID_1410_a0065g_022_Start>>No</ALT>"
"Pular o tour de Fyra?","<ALT=-1,<CB=EID_1410_a0100g_16_GuideSkip_01>>Sim</ALT><LF><ALT=-1,<CB=EID_1410_a0100g_16_GuideSkip_02>>Não</ALT>","Skip Fyra's tour?","<ALT=-1,<CB=EID_1410_a0100g_16_GuideSkip_01>>Yes</ALT><LF><ALT=-1,<CB=EID_1410_a0100g_16_GuideSkip_02>>No</ALT>","¿Omitir visita guiada de Fyra?","<ALT=-1,<CB=EID_1410_a0100g_16_GuideSkip_01>>Sí</ALT><LF><ALT=-1,<CB=EID_1410_a0100g_16_GuideSkip_02>>No</ALT>"
,"Lança obtida, <ITEM>.",,"Obtained the spear, <ITEM>.",,"Has obtenido la lanza <ITEM>."
,"A porta está trancada. Há um slot ao lado marcado com ""AA"".",,"The door is locked. There's a slot next to it marked ""AA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""AA""."
,"A porta está trancada. Há um slot ao lado marcado com ""KA"".",,"The door is locked. There's a slot next to it marked ""KA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""KA""."
,"A porta está trancada. Há um slot ao lado marcado com ""SA"".",,"The door is locked. There's a slot next to it marked ""SA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""SA""."
,"A porta está trancada. Há um slot ao lado marcado com ""TA"".",,"The door is locked. There's a slot next to it marked ""TA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""TA""."
,"A porta está trancada. Há um slot ao lado marcado com ""NA"".",,"The door is locked. There's a slot next to it marked ""NA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""NA""."
,"A porta está trancada. Há um slot ao lado marcado com ""ha"".",,"The door is locked. There's a slot next to it marked ""HA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""HA""."
,"A porta está trancada. Há um slot ao lado marcado com ""MA"".",,"The door is locked. There's a slot next to it marked ""MA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""MA""."
,"A porta está trancada. Há um slot ao lado marcado com ""YA"".",,"The door is locked. There's a slot next to it marked ""YA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""YA""."
,"A porta está trancada. Há um slot ao lado marcado com ""RA"".",,"The door is locked. There's a slot next to it marked ""RA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""RA""."
,"A porta está trancada. Há um slot ao lado marcado com ""WA"".",,"The door is locked. There's a slot next to it marked ""WA"".",,"La puerta está bloqueada. Hay una ranura al lado con una marca que indica ""WA""."
,"Agora você pode usar seu terreno.",,"You may now use your field.",,"Ahora puedes usar tu terreno."
,"Seu terreno foi expandido.",,"Your field has been expanded.",,"Tu terreno se ha expandido."
,"Se escolher esta opção, todos os seus dados salvos serão excluídos.<LF>Tem certeza de que deseja continuar?<LF><LF><ALT=-1,<CB=Ending_Sequence_02>>Sim</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>Não</ALT>",,"If you choose this option, all of your save data will be erased.<LF>Are you sure about this?<LF><LF><ALT=-1,<CB=Ending_Sequence_02>>Yes</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>",,"Si eliges esta opción, todos tus datos guardados serán eliminados.<LF>¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=Ending_Sequence_02>>Sí</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>"
,"Mesmo que não escolha essa opção desta vez, você pode<LF>retornar a ela se vencer o jogo novamente.<LF>Você ainda deseja continuar?<LF><LF><ALT=-1,<CB=Ending_Sequence_03>>Sim</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>Não</ALT>",,"Even if you elect against it this time, you can always<LF>return to this selection by clearing the game again.<LF>Are you still sure about this?<LF><LF><ALT=-1,<CB=Ending_Sequence_03>>Yes</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>",,"Aunque no te decantes por ella, podrás cambiar tu decisión si superas el juego de nuevo.<LF>¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=Ending_Sequence_03>>Sí</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>"
,"Todos os dados salvos serão excluídos,<LF>portanto, você só pode escolher esta opção uma vez.<LF>Tem certeza de que deseja continuar?<LF><LF><ALT=-1,<CB=Ending_Sequence_04>>Sim</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>Não</ALT>",,"All save data will be erased,<LF>so you can only choose this option once.<LF>Are you really sure about this?<LF><LF><ALT=-1,<CB=Ending_Sequence_04>>Yes</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>",,"Todos los datos guardados del juego serán eliminados,<LF>así que solo puedes seleccionar esta opción una vez.<LF>¿Seguro que quieres continuar?<LF><LF><ALT=-1,<CB=Ending_Sequence_04>>Sí</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>"
,"Esta é sua última chance de mudar de idéia.<LF>Tem certeza <FONT=ITALIC>absoluta</FONT> de que deseja continuar?<LF><LF><ALT=-1,<CB=Input_Name_Sequence>>Sim</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>Não</ALT>",,"This is your last chance to change your mind.<LF>Are you really, <FONT=ITALIC>really</FONT> sure about this?<LF><LF><ALT=-1,<CB=Input_Name_Sequence>>Yes</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>",,"Esta es tu última oportunidad para cambiar de opinión.<LF>¿Estás <FONT=ITALIC>totalmente</FONT> seguro/a de que quieres continuar?<LF><LF><ALT=-1,<CB=Input_Name_Sequence>>Sí</ALT><LF><ALT=-1,<CB=EID_9100_a0010_01_Start>>No</ALT>"
"Aplicando Palavras","As palavras podem ser atribuídas a armas ou magias para aumentar seus efeitos.<LF>Para definir uma palavra, vá para a guia Editar Palavras na seção Grimório Weiss do menu principal.","Applying Words","Words can be applied to weapons or magic to strengthen their effect.<LF>To set a word, use the Word Edit tab from the Grimoire Weiss section of the main menu.","Asignación de palabras","Las palabras se pueden asignar a hechizos y armas para potenciar sus efectos.<LF>Para usar una palabra, ve a la pestaña Editar palabras,<LF>dentro de la sección de Grimoire Weiss del menú principal."
"Grimório Weiss","Grimório Weiss pode ser acessado no menu principal.","Grimoire Weiss","Grimoire Weiss can be accessed from the main menu.","Grimoire Weiss","Puedes acceder a Grimoire Weiss a través del menú principal."
"Seguindo o Carteiro","Siga o Carteiro. Esconda-se atrás dos prédios para não ser notado.","Following the Postman","Follow the postman. Hide behind buildings to avoid being spotted.","Seguir al cartero","Sigue al cartero. Escóndete detrás de los edificios para evitar que se dé cuenta."
"Seguindo Fyra","Siga a Fyra até o Templo Árido. Se a perder no meio do caminho, terá que tentar novamente.","Following Fyra","Follow Fyra to the Barren Temple. If you lose her midway, you will have to try again.","Seguir a Fyra","Sigue a Fyra hasta el Templo Árido. Si la pierdes la pista, tendrás que empezar de nuevo."
,"Parece que não vai abrir agora.",,"Doesn't look like it's going to open right now.",,"No tiene pinta de que vaya a abrir ahora."
,"Você devolveu o livro à estante.",,"You returned the book to the bookshelf.",,"Has devuelto el libro a la estantería."
,"A missão ""Réquiem para uma Esposa"" já está disponível.",,"The quest ""Requiem for a Wife"" is now available.",,"La misión ""Réquiem por una esposa"" ya está disponible."
,"Você pode aceitar falando com Devola na taberna.",,"You can accept it from Devola at the tavern.",,"Puedes aceptarla hablando con Devola en la taberna."
,"A porta está quebrada e não abrirá.",,"The door is broken and won't open.",,"La puerta está rota y no se abre."
,"Devemos terminar de cantar?<LF><LF><ALT=-1,<CB=SEID_1320_S0210_a0090_SongEnd_Ok>>Sim</ALT><LF><ALT=-1,<CB=SEID_1320_S0210_Window_Default>>Não</ALT>",,"Should we finish singing?<LF><LF><ALT=-1,<CB=SEID_1320_S0210_a0090_SongEnd_Ok>>Yes</ALT><LF><ALT=-1,<CB=SEID_1320_S0210_Window_Default>>No</ALT>",,"¿Quieres que terminemos de cantar?<LF><LF><ALT=-1,<CB=SEID_1320_S0210_a0090_SongEnd_Ok>>Sí</ALT><LF><ALT=-1,<CB=SEID_1320_S0210_Window_Default>>No</ALT>"
,"Você pode usar caixas de correio para salvar seu progresso.",,"You can use mailboxes to save your progress.",,"Puedes usar los buzones para guardar tu progreso."
,"As caixas de correio estão espalhadas por todo lugar, então fique de olho.",,"Mailboxes can be found all over the world, so keep your eyes peeled for them.",,"Los buzones están repartidos por todo el mundo, así que abre bien los ojos."
,"Pressione {01C286} para exibir um mapa da área local.",,"Press {01C286} to display a map of the local area.",,"Pulsa {01C286} para mostrar un mapa de la zona local."
,"Você deve conseguir um mapa da área antes de poder visualizá-la.",,"You must obtain a map of the area before you can view it.",,"Consigue un mapa de la zona para poder verla."
,"Pressione o botão BACK para visualizar os mapas que você já obteve.",,"Press the BACK button to view maps you've already obtained.",,"Pulsa el botón ATRÁS para ver los mapas que tienes."
,"Você obteve uma palavra.<LF>Palavras permitem que você aumente o poder de armas e magias.",,"You obtained a word.<LF>Words enable you to power up weapons and magic.",,"Has obtenido una palabra.<LF>Las palabras te permiten mejorar armas y hechizos."
,"Você pode usar as palavras obtidas atribuindo-as<LF>a armas ou magias no guia ""Editar Palavras"" do Grimório Weiss.",,"You can make use of the words you've obtained by applying them<LF>to weapons or magic on Grimoire Weiss's ""Word Edit"" tab.",,"Puedes utilizar las palabras que hayas obtenido asignándolas a armas o hechizos en la pestaña<LF>""Editar palabras"" de Grimoire Weiss."
,"Você descobriu onde encontrar alguém com informações sobre o Peixe Xamã.",,"You learned where to find someone who knows about shaman fish.",,"Has descubierto dónde encontrar a alguien con información sobre el pez chamán."
,"Todos os seus poderes mágicos foram retirados!",,,,"¡Te han desprovisto de todos tus poderes mágicos!"
,"Você digitou um nome incorreto.",,"An incorrect name was entered.",,"Has introducido un nombre incorrecto."
,"Kainé será morta.",,"Kainé will be killed.",,"Kainé será asesinada."
,"Você digitou o nome correto.",,"The correct name was entered.",,"Has introducido el nombre correcto."
,"Todos os dados salvos serão excluídos.",,"All save files will be erased.",,"Se borrarán todos los archivos de guardado."
,"Este não é o nome certo!",,"That's not the right name!",,"¡Ese no es el nombre correcto!"
,"Documentos do Projeto Gestalt obtidos.",,"Obtained Project Gestalt documents.",,"Has obtenido documentos del proyecto Gestalt."
,"Código do porão - B2 obtido!",,"Obtained B2 passcode!",,"¡Has obtenido el código del sótano 2!"
,"A missão ""Mundo Reciclado"" já está disponível.",,"The quest ""Recycled World"" is now available.",,"La misión ""Mundo vacuo"" ya está disponible."
,"Após conseguir o Grimório Weiss, examine a luz<LF>no primeiro andar de sua casa para acessá-la.",,"After you acquire Grimoire Weiss, examine the light<LF>on the first floor of your house to access it.",,"Una vez consigas a Grimoire Weiss, examina la luz de la primera planta de tu casa<LF>para acceder a él."
