"Salvar?","Save?","¿Guardar?"
"Você entregou os materiais ao cliente.","You gave the materials to the client.","Le has dado los materiales al cliente."
"A florista precisa de três fertilizantes de caça para suas sementes. Elas aparentemente estão disponíveis para venda em Beira-Mar.","The florist needs three bounty fertilizers for her seeds. They're apparently available for sale at Seafront.","La florista necesita tres fertilizantes para sus semillas. Al parecer, se venden en Ciudad Costera."
"Você coletou os fertilizantes. Leve-os de volta para o cliente.","You collected the fertilizers. Bring them back to the client.","Has reunido los fertilizantes. Llévaselos a la clienta."
"Você deu os fertilizantes para o cliente.","You gave the fertilizers to the client.","Le has dado los fertilizantes a la clienta."
"Yonah precisa de carne de veado e trigo para a receita.","Yonah needs venison and wheat for her cooking.","Yonah necesita carne de venado y trigo para cocinar."
"Você coletou os ingredientes. Que tipo de ensopado ela pode estar preparando?","You collected the ingredients. What kind of stew could she be whipping up?","Has reunido todos los ingredientes. ¿Qué clase de guiso va a preparar?"
"Yonah pegou os ingredientes. A refeição foi ... interessante.","Yonah got her ingredients. The meal was...interesting.","Yonah consiguió los ingredientes. El plato era... interesante."
"A dona da taberna precisa de mais ingredientes para seu remédio. Desta vez ele precisa de um ovo de águia, encontrado em locais altos onde o vento sopra.","The tavern keeper needs more ingredients for her medicine. This time she needs an eagle egg, found in high places where the wind blows.","La tabernera necesita más ingredientes para su medicina. Ahora necesita un huevo de águila. Búscalo donde sopla el viento."
"Você obteve um ovo de águia. Leve-o de volta para o cliente.","You obtained an eagle egg. Bring it back to the client.","Has conseguido un huevo de águila. Llévaselo a la cliente."
"Você deu o ovo de águia para o cliente, que o transformou em medicamento. Entregue o remédio para a velha próximo à fonte perto da biblioteca.","You gave the eagle egg to the client, who turned it into medicine. Deliver the medicine to the old woman near the fountain by the library.","Le has dado el huevo de águila a la cliente y ha preparado con él una medicina. Llévasela a la anciana que está cerca de la fuente de la biblioteca."
"Você entregou o remédio para a senhora, embora seja difícil imaginar ela mais enérgica do que já é...","You gave the medicine to the old woman, although it's hard to imagine her any more energetic than she already is...","Le has dado la medicina a la anciana, aunque es difícil imaginarla con más energía de la que ya tiene..."
"Um guarda na entrada norte pediu que você entregasse uma encomenda na casa de ouro no ponto mais alto de Aerie. O pacote é frágil, por isso tenha cuidado extra ao carregá-lo.","A guard at the northern gate has asked you to deliver a parcel to the gold house at the highest point of The Aerie. The parcel is fragile, so take extra care when carrying it.","Un guarda de la puerta norte te ha pedido que entregues un paquete en la casa dorada, en el punto más alto de Nido del Águila. Es un paquete frágil, así que ten mucho cuidado."
"Você quebrou o conteúdo da encomenda...Volte para o cliente.","You broke the parcel's contents... Return to the client.","Has roto el contenido del paquete... Vuelve con el cliente."
"Você entregou a encomenda com êxito. Informe o cliente.","You successfully delivered the parcel. Report back to the client.","Has entregado correctamente el paquete. Informa al cliente."
"Você informou ao cliente sobre o seu sucesso.","You reported your success to the client.","Le has comunicado la entrega al cliente."
"A jovem com o cachorro no distrito comercial precisa de ajuda para consertar o moinho de água da vila. Viaje até a loja de Itens-Exóticos em Facade e obtenha peças para repará-la.","The young woman with the dog in the shopping district needs help repairing the village waterwheel. Travel to Facade's strange-thing store and obtain parts to repair it.","La chica con el perro del distrito comercial necesita ayuda para reparar el molino de agua. Consigue las piezas necesarias en la tienda de objetos raros de Fachada."
"O dono da loja de itens raos precisa de materiais para fazer os itens que você precisa. Colete dez pedaços de minério de ferro e dez toras.","The keeper of the strange-thing store needs materials to make the items you need. Collect ten pieces of iron ore and ten logs.","El dueño de la tienda de objetos raros necesita materiales para hacer objetos. Reúne diez piezas de hierro y diez troncos."
"Você coletou os materiais. Leve-os de volta para a loja de Itens-Exóticos.","You collected the materials. Bring them back to the strange-thing store.","Has reunido los materiales. Llévalos a la tienda de objetos raros."
"As peças estão sendo construídas. Volte para a vila e informe o cliente sobre a situação.","The parts are being built. Return to the village and inform the client of the situation.","Las piezas están en construcción. Vuelve a la aldea e informa a la cliente."
"Você informou ao cliente seu êxito.","You reported your success to the client.","Has informado a la cliente."
"A fonte no distrito comercial está começando a quebrar, segundo o homem próximo. Viaje até a loja de Itens-Exóticos em Facade e obtenha peças para repará-la.","The fountain in the shopping district is starting to break down, according to the man nearby. Travel to the strange-thing store in Facade and obtain parts to repair it.","La fuente del distrito comercial está empezando a averiarse, según un hombre que anda cerca. Ve a la tienda de objetos raros de Fachada y consigue piezas."
"O dono da loja de Itens-Exóticos precisa de materiais para fazer os itens que você precisa. Colete dez motores quebrados e dez cabos cortados.","The keeper of the strange-thing store needs materials to make the items you need. Collect ten broken motors and ten severed cables.","El dueño de la tienda de objetos raros necesita materiales para tus objetos. Reúne diez motores estropeados y diez cables cortados."
"Você coletou os materiais. Leve-os de volta para a loja de Itens-Exóticos em Facade.","You collected the materials. Bring them back to the strange-thing store in Facade.","Has reunido los materiales. Llévalos a la tienda de objetos raros de Fachada."
"As peças estão sendo construídas. Volte para a vila e informe o cliente sobre a situação.","The parts are being built. Return to the village and inform the client of the situation.","Las piezas están en construcción. Vuelve a la aldea e informa al cliente."
"Você relatou seu sucesso para o cliente.","You reported your success to the client.","Has informado al cliente."
"Um velho perto da fonte no distrito comercial pediu para você entregar um pacote para a taberna em Beira-Mar. O pacote é frágil, então tenha cuidado extra ao carregá-lo.","An old man near the fountain in the shopping district has asked you to deliver a parcel to the tavern in Seafront. The parcel is fragile, so take extra care when carrying it.","Un anciano cerca de la fuente del distrito comercial te ha pedido que entregues un paquete en la taberna de Ciudad Costera. El paquete es frágil, así que ten mucho cuidado."
"Você entregou o pacote com sucesso . Informe o cliente.","You successfully delivered the parcel. Report back to the client.","Has entregado correctamente el paquete. Informa al cliente."
"Você relatou seu sucesso para o cliente.","You reported your success to the client.","Has informado al cliente."
"O velho pescador irá ensinar-lhe algumas técnicas se você conseguir pegar dez sardinhas.","The old fisherman will teach you some techniques if you can catch ten sardines.","El viejo pescador te enseñará unas técnicas si pescas diez sardinas."
"Você capturou o peixe solicitado. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você capturou dez sardinhas e aprendeu algumas técnicas de pesca.","You caught ten sardines and learned some fishing techniques.","Has pescado diez sardinas y has aprendido técnicas de pesca."
"O pescador antigo vai lhe ensinar algumas técnicas se você conseguir pegar sete baiacus.","The old fisherman will teach you some techniques if you can catch seven blowfish.","El viejo pescador te enseñará algunas técnicas si pescas<LF>siete peces globo."
"Você capturou o peixe solicitado. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você capturou sete baiacus e aprendeu algumas técnicas de pesca.","You caught seven blowfish and learned some fishing techniques.","Has pescado diez peces globo y has aprendido técnicas de pesca."
"O homem com a faixa vermelha no cais precisa de materiais para consertar um barco. Colete cinco toras, vinte placas de metal amassadas e dez parafusos desgastados","The man with the red sash by the dock needs materials to fix a boat. Collect five logs, twenty dented metal boards, and ten stripped bolts.","Un hombre en el puerto con una banda roja necesita cinco troncos,<LF>veinte láminas dentadas de metal y diez tornillos de rosca."
"Você coletou os materiais. Leve-os de volta ao cliente.","You collected the materials. Bring them back to the client.","Has reunido los materiales. Llévaselos al cliente."
"Você entregou os materiais ao cliente.","You gave the materials to the client.","Le has dado los materiales al cliente."
"Você precisa pegar um peixe xamã, mas não sabe nada sobre pesca. O velho no cais parece saber o que está fazendo...","You need to catch a shaman fish, but don't know the first thing about fishing. The old man on the pier seems to know what he's doing...","Necesitas pescar un pez chamán, pero no tienes ni idea de pescar. El anciano del embarcadero parece saber lo que hace..."
"Você conseguiu aprender o básico da pesca.","You managed to learn the basics of fishing.","Has aprendido los fundamentos de la pesca."
"O velho pescador irá ensinar-lhe algumas técnicas se você conseguir pegar sete trutas arco-íris.","The old fisherman will teach you some techniques if you can catch seven rainbow trout.","El viejo pescador te enseñará algunas técnicas si pescas siete truchas arcoíris."
"Você pescou os peixes. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você pegou sete trutas arco-íris e aprendeu algumas técnicas de pesca.","You caught seven rainbow trout and learned some fishing techniques.","Has pescado siete truchas arcoíris y has aprendido técnicas de pesca."
"O velho pescador irá ensinar-lhe algumas técnicas se você conseguir pegar cinco bremas.","The old fisherman will teach you some techniques if you can catch five bream.","El viejo pescador te enseñará unas técnicas si pescas cinco besugos."
"Você pescou os peixes. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você pegou cinco bremas e aprendeu algumas técnicas de pesca.","You caught five bream and learned some fishing techniques.","Has pescado cinco besugos y has aprendido técnicas de pesca."
"O velho pescador irá ensinar-lhe algumas técnicas se você conseguir pegar cinco achigãs.","The old fisherman will teach you some techniques if you can catch five black bass.","El viejo pescador te enseñará unas técnicas si pescas cinco lubinas."
"Você pescou os peixes. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você pegou cinco achigãs e aprendeu algumas técnicas de pesca.","You caught five black bass and learned some fishing techniques.","Has pescado cinco lubinas y has aprendido técnicas de pesca."
"O velho pescador irá ensiná-lo algumas técnicas se você conseguir pegar três peixes de areia no oceano desértico de Facade. Peixe...no deserto?","The old fisherman will teach you some techniques if you can catch three sandfish over in Facade's desert ocean. Fish...in the desert?","El viejo pescador te enseñará algunas técnicas si pescas tres peces de arena en el desierto de Fachada. ¿Peces... en el desierto?"
"Você pescou os peixes. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você pegou três peixes de areia e aprendeu algumas técnicas de pesca.","You caught three sandfish and learned some fishing techniques.","Has pescado tres peces de arena y has aprendido técnicas de pesca."
"O velho pescador irá ensiná-lo algumas técnicas se você conseguir pegar três peixes reais.","The old fisherman will teach you some techniques if you can catch three royal fish.","El viejo pescador te enseñará algunas técnicas si pescas tres peces reales."
"Você pescou os peixes. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você pegou três peixes reais e aprendeu algumas técnicas de pesca.","You caught three royal fish and learned some fishing techniques.","Has pescado tres peces reales y has aprendido técnicas de pesca."
"O velho pescador irá ensiná-lo algumas técnicas se você conseguir pegar dois marlins azuis.","The old fisherman will teach you some techniques if you can catch two blue marlin.","El viejo pescador te enseñará algunas técnicas si pescas dos agujas azules."
"Você pescou os peixes. Informe ao velho pescador.","You caught the requested fish. Report back to the old fisherman.","Has conseguido pescar los peces. Díselo al viejo pescador."
"Você pegou dois marlins azuis e aprendeu algumas técnicas de pesca.","You caught two blue marlin and learned some fishing techniques.","Has pescado dos agujas azules y has aprendido técnicas de pesca."
"O velho pescador lhe contou sobre um peixe lendário. Pegue uma hyneria e mostre a ele.","The old fisherman has told you of a legendary fish. Catch a hyneria and show it to him.","El viejo pescador te ha hablado de un pez legendario. Pesca una hyneria y<LF>muéstrasela."
"Você pegou uma hyneria. Mostre-a ao velho pescador.","You caught a hyneria. Show it to the old fisherman.","Has pescado una hyneria. Enséñasela al viejo pescador."
"Você pegou uma hyneria e foi mostrá-la ao velho homem. Infelizmente, ele faleceu quando você chegou.","You caught a hyneria and went to show it to the old man. Sadly, he had passed away by the time you arrived.","Has pescado una hyneria y has ido a mostrársela al viejo pescador. Por desgracia, ya había fallecido."
"Você entregou a carta para a velha mulher. Informe ao carteiro.","You delivered the letter to the old woman. Report back to the postman.","Le has entregado la carta a la anciana. Informa al cartero."
"Você foi solicitado para entregar uma carta para Aerie.","You've been asked to deliver a letter to The Aerie.","Te han pedido que entregues una carta en Nido del Águila."
"Você foi solicitado para entregar uma carta para o Lixão.","You've been asked to deliver a letter to the Junk Heap.","Te han pedido que entregues una carta en la chatarrería."
"Você entregou a carta.","You delivered the letter.","Has entregado la carta."
"Você entregou a carta para a velha mulher. Informe ao carteiro.","You delivered the letter to the old woman. Report back to the postman.","Le has entregado la carta a la anciana. Informa al cartero."
"Você foi solicitado para entregar uma carta para Popola.","You've been asked to deliver a letter to Popola.","Te han pedido que le entregues una carta a Popola."
"Você entregou a carta.","You delivered the letter.","Has entregado la carta."
"Você foi solicitado para coletar ingredientes para o prato especial do taberneiro de Beira-Mar. Colete dez ervas medicinais, dez sacos de trigo e dez sardinhas.","You've been asked to gather ingredients for the Seafront tavern keeper's signature dish. Collect ten medicinal herbs, ten bags of wheat, and ten sardines.","Te han pedido que reúnas diez plantas medicinales, diez bolsas de trigo y diez sardinas para que el tabernero de Ciudad Costera haga su plato de autor."
"Você coletou os ingredientes. Leve-os de volta para o cliente.","You collected the ingredients. Bring them back to the client.","Has reunido los ingredientes. Llévaselos al cliente."
"Você entregou os ingredientes ao cliente.","You gave the ingredients to the client.","Le has dado los ingredientes al cliente."
"O dono da taberna Beira-Mar precisa de inspiração para novas refeições. Vá para a biblioteca e veja o que você pode encontrar.","The Seafront tavern keeper needs inspiration for new meals. Head to the library and see what you can find.","El tabernero de Ciudad Costera necesita inspiración. Ve a la biblioteca a ver qué encuentras."
"Você encontrou algo que deve funcionar. Traga de volta para o cliente.","You found something that should work. Bring it back to the client.","Has encontrado algo que debería funcionar. Llévaselo al cliente."
"Você encontrou um livro de receitas na biblioteca. Entregue-o ao cliente.","You found a cookbook in the library. Deliver it to the client.","Has encontrado un libro de cocina. Llévaselo al cliente."
"Você foi solicitado a reunir ingredientes para um novo prato. Colete cinco tubarões, cinco sacos de arroz e cinco cogumelos.","You've been asked to gather ingredients for a new dish. Collect five sharks, five bags of rice, and five mushrooms.","Te han pedido ingredientes para un nuevo plato. Reúne diez tiburones, cinco bolsas de arroz y cinco setas."
"Você coletou os ingredientes. Leve-os de volta para o cliente.","You collected the ingredients. Bring them back to the client.","Has reunido los ingredientes. Llévaselos al cliente."
"Você entregou os ingredientes ao cliente.","You gave the ingredients to the client.","Le has dado los ingredientes al cliente."
"O guarda da porta leste pediu para você entregar um pacote para a loja de armas de Facade. O pacote é frágil, então tenha cuidado extra ao transportá-lo.","The guard at the eastern gate has asked you to deliver a parcel to Facade's weapon shop. The parcel is fragile, so take extra care when carrying it.","El guarda de la puerta este te ha pedido que entregues un paquete en la tienda de armas de Fachada. El paquete es frágil, así que ten mucho cuidado."
"Você entregou com sucesso o pacote. Relate de volta ao cliente.","You successfully delivered the parcel. Report back to the client.","Has entregado correctamente el paquete. Informa al cliente."
"Você informou seu sucesso ao cliente.","You reported your success to the client.","Has informado al cliente."
"Você foi convidado para participar de um jogo onde passa mensagens de uma pessoa para a próxima. Se você cometer um erro, deve recomeçar do início.","You've been invited to join a game where you pass messages from one person to the next. If you make a mistake, you must start over from the beginning.","Te han invitado a participar en un juego en el que tienes que pasar mensajes de una persona a otra. Si te equivocas, tendrás que volver a empezar."
"O primeiro destinatário é ""a pessoa que guarda o lado esquerdo da saída.""","The first recipient is ""the person guarding the left side of the exit.""","El primer receptor es ""quien custodia la parte izquierda de la salida""."
"O segundo destinatário é ""aquele que protege o lado esquerdo do rei.""","The second recipient is ""he who protects the king's left.""","El segundo receptor es ""quien protege la izquierda del rey""."
"O terceiro destinatário é ""a pessoa que cuida das crianças.""","The third recipient is ""the person taking care of the children.""","El tercer receptor es ""la persona que cuida de los niños""."
"O quarto destinatário é ""o guardião sudeste.""","The fourth recipient is ""the southeastern guardian.""","El cuarto receptor es ""el guardián de la puerta sureste""."
"O quinto destinatário é ""a pessoa tagarela.""","The fifth recipient is ""the long-winded person.""","El quinto receptor es ""una persona a la que le gusta hablar""."
"Você passou mensagens para cinco pessoas.","You passed messages to five people.","Has entregado mensajes a cinco personas."
"Uma mulher na frente do palácio do rei de Facade precisa de um favor seu. As regras estabelecem que ela não pode dizer explicitamente o nome do objeto que ela quer, então você deve procurar por dez ""objetos redondos e listrados"".","A woman in front of the king of Facade's palace needs you to run an errand. The rules state that she can't expressly state the name of the item she wants, so you must search for ten ""round, striped food objects.""","Una mujer delante del palacio de Fachada necesita que le hagas un recado. Las reglas dictaminan que no puede decirte el nombre del objeto, así que debes buscar diez ""objetos comestibles rayados y redondos""."
"Você encontrou e entregou os objetos para o cliente.","You located and delivered the items to the client.","Has localizado y entregado los objetos a la clienta."
"Um guarda real de Facade precisa de uma liga de titânio e um cristal para fazer uma máscara.","A Facade royal guard needs titanium alloy and a crystal so he can make a mask.","Un guardia real de Fachada necesita una aleación de titanio y un cristal para hacer una máscara."
"Você coletou os materiais. Leve-os de volta para o cliente.","You collected the materials. Bring them back to the client.","Has reunido los materiales. Llévaselos al cliente."
"Você entregou os materiais ao cliente.","You gave the materials to the client.","Le has dado los materiales al cliente."
"O lojista da Loja de Itens Exóticos em Facade pediu para você coletar dez peles de lobo como presente para sua esposa. Parece que eles tiveram uma discussão recentemente...","The shopkeeper at the strange-thing store in Facade has asked you to collect ten wolf hides as a gift for his wife. It seems they recently had an argument...","El dueño de la tienda de objetos raros de Fachada te ha pedido que consigas diez pieles de lobo como regalo para su esposa. Parece que han discutido..."
"Você coletou as peles. Leve-as de volta para o cliente.","You collected the hides. Bring them back to the client.","Has reunido las pieles. Llévaselas al cliente."
"Você entregou as peles para o cliente. Vá até a esposa dele (localizada diretamente acima do marido) e informe-a sobre o presente.","You gave the hides to the client. Go to his wife (located directly above her husband) and inform her of the gift.","Le has dado las pieles al cliente. Informa a su mujer (que está justo encima de su marido) del regalo."
"Com o presente entregue, o casal está feliz mais uma vez.","With the present delivered, the couple is happy once more.","Después de entregar el regalo, la pareja vuelve a estar contenta."
"Uma pessoa perto da caixa de correio em Facade quer algumas sementes para cultivar no deserto. Traga ao cliente dez sementes de lua rosa.","A person near the mailbox in Facade wants some seeds to grow in the desert. Bring the client ten pink moonflower seeds.","Una persona cerca del buzón de Fachada quiere semillas para el desierto. Consigue diez semillas de luna rosa."
"Você coletou as sementes. Leve-as de volta ao cliente.","You collected the seeds. Bring them back to the client.","Has reunido las semillas. Llévaselas a la cliente."
"Você entregou as sementes ao cliente.","You gave the seeds to the client.","Le has dado las semillas a la cliente."
"O proprietário da taberna em Beira-Mar precisa de ingredientes para uma nova receita. Colete dez bagres gigantes e dez sacos de arroz.","The tavern keeper in Seafront needs ingredients for a new recipe. Collect ten giant catfish and ten bags of rice.","El tabernero de Ciudad Costera necesita diez peces gato gigantes y diez bolsas de arroz para una nueva receta."
"Você coletou os ingredientes. Leve-os de volta ao cliente.","You collected the ingredients. Bring them back to the client.","Has reunido los ingredientes. Llévaselos al cliente."
"Você deu os ingredientes para o cliente. Parece que ele não consegue limpar o peixe escorregadio e fedorento. Será que um restaurante assim pode sobreviver em uma cidade litorânea?","You gave the ingredients to the client.<LF>It seems he can't clean the slimy, smelly fish. Can a restaurant like this survive in a coastal town?","Le has dado los ingredientes al cliente. Parece que no es capaz de limpiar peces malolientes. ¿Podrá sobrevivir un restaurante así aquí?"
"Um homem perto do farol em Beira-Mar precisa de peças de reposição para o farol. Colete dez lentes quebradas, dez baterias quebradas e dez interruptores misteriosos.","A man near the lighthouse in Seafront needs replacement parts for the lighthouse. Collect ten broken lenses, ten broken batteries, and ten mysterious switches.","Un hombre cerca del faro de Ciudad Costera necesita piezas para el faro. Reúne diez lentes rotas, diez baterías en mal estado y diez interruptores misteriosos."
"Você coletou os materiais. Leve-os de volta para o cliente.","You collected the materials. Bring them back to the client.","Has reunido los materiales. Llévaselos al cliente."
"Você entregou os materiais ao cliente.","You gave the materials to the client.","Le has dado los materiales al cliente."
"Um guarda real da Facade pediu vinte peças de minério de ferro, vinte peças de argila e vinte toras para ajudar a reviver a fortuna da cidade.","A Facade royal guard has asked you for twenty pieces of iron ore, twenty pieces of clay, and twenty logs to help revive the town's fortunes.","Un guardia real de Fachada te ha pedido veinte trozos de hierro, veinte piezas de arcilla y veinte troncos para levantar la economía."
"Você coletou os materiais. Leve-os de volta para o cliente.","You collected the materials. Bring them back to the client.","Has reunido los materiales. Llévaselos al cliente."
"Você entregou os materiais solicitados. A cidade deverá estar cheia de vida novamente, em breve.","You delivered the requested materials. The town should be vibrant again before long.","Has entregado los materiales. La ciudad debería volver a animarse pronto."
"Yonah pediu um melão.","Yonah asked you for a melon.","Yonah te ha pedido un melón."
"Yonah pediu uma melancia.","Yonah asked you for a watermelon.","Yonah te ha pedido una sandía."
"Yonah pediu uma abóbora.","Yonah asked you for a pumpkin.","Yonah te ha pedido una calabaza."
"Você fez o seu melhor para apreciar a culinária de Yonah.","You did your best to enjoy Yonah's cooking.","Te ha sabido a gloria la comida que ha hecho Yonah... Qué curioso."
"Um homem próximo à fonte na praça de Beira-Mar lhe deu uma carta de amor que ele quer entregar para sua amada em Aerie. O destinatário mora perto do chefe da vila.","A man near the fountain in Seafront's plaza has given you a love letter he wants delivered to his lover in The Aerie. The recipient lives near the village's chief.","Un hombre cerca de la fuente de Ciudad Costera quiere que entregues una carta de amor en Nido del Águila. La destinataria vive cerca del jefe de la aldea."
"A amada do homem parece estar ausente. Volte para ele e informe seus achados.","The man's lover seems to be gone. Return to him and report your findings.","Parece que la amada ha desaparecido. Vuelve e infórmale."
"Você explicou a situação para o homem, mas ele diz que ainda não vai desistir.","You explained the situation to the man, but he says he's not ready to give up just yet.","Le has explicado la situación al hombre, pero dice que aún no está listo para rendirse."
"Faça com que Devola e Popola cantem uma música para você. Discuta o assunto com ambas.","Have Devola and Popola sing a song for you. Discuss the matter with both of them.","Consigue que Devola y Popola te canten una canción. Habla del asunto con las dos."
"Aparentemente, Popola precisa de uma bebida especial para cantar. Pegue-a na taberna em Beira-Mar.","Apparently Popola needs a special drink in order to sing. Get it from the tavern in Seafront.","Popola necesita una bebida especial para cantar. Consíguela en la taberna de Ciudad Costera."
"A bebida é feita de certos ingredientes especiais. Colete cinco caudas de lagarto e cinco caudas de rato.","The drink is made of certain special ingredients. Collect five lizard tails and five mouse tails.","La bebida se hace con ciertos ingredientes. Reúne cinco colas de lagarto y cinco colas de ratón."
"Você coletou os ingredientes. Leve-os para a taberna de Beira-Mar.","You collected the ingredients. Take them to the Seafront tavern.","Has reunido los ingredientes. Llévalos a la taberna de Ciudad Costera."
"Você criou a bebida com sucesso. Volte para Popola e relate o resultado.","You successfully created the drink. Report back to Popola.","Has preparado la bebida correctamente. Informa a Popola."
"As irmãs cantaram sua canção... embora francamente, a bebida que Popola pediu é muito mais fascinante.","The sisters have sung their song...though frankly, the drink Popola requested is much more fascinating.","Las hermanas han cantado su canción, aunque, la verdad, lo más fascinante ha sido la bebida de Popola."
"Um velho perto da entrada sul do distrito comercial precisa de ajuda para encontrar seu cachorro. O animal gosta de passear nas planícies do norte.","An old man near the shopping district's southern entrance needs help finding his dog. The animal likes to roam the northern plains.","Un anciano cerca de la entrada sur del distrito comercial necesita encontrar a su perro. Podría estar en las llanuras del norte."
"Você encontrou o cachorro, mas ele já estava morto. Tire a folha da boca dele e devolva para seu dono.","You found the dog, but it was already dead. Take the leaf from its mouth and return it to its master.","Has encontrado al perro, pero ya estaba muerto. Coge la hoja de su boca y llévasela a su dueño."
"O dono já havia morrido quando você retornou.","The master had already died by the time you returned.","El dueño ya había fallecido para cuando volviste."
"Um homem a bordo de um navio ancorado em Beira-Mar precisa de mercadorias em estoque para começar suas vendas. Colete dez pacotes de lã, cinco pedaços de borracha natural e dez peles de cabra.","A man aboard a ship docked in Seafront needs to build his inventory so he can begin trading. Collect ten bundles of wool, five lumps of natural rubber, and ten goat hides.","Un hombre a bordo de un barco amarrado en Ciudad Costera necesita aprovisionarse para comerciar. Reúne diez fardos de lana, cinco bloques de caucho y diez pieles de cabra."
"Você coletou os materiais. Leve-os de volta para o cliente.","You collected the materials. Bring them back to the client.","Has reunido los materiales. Llévaselos al cliente."
"Você entregou as mercadorias. Esperamos que seu cliente possa construir um negócio de sucesso.","You delivered the goods. Hopefully your client can build a successful trading business.","Has entregado los materiales. Con suerte, tu cliente hará carrera como comerciante."
"Um homem em frente à loja de armas perto do portão sul precisa de ajuda para encontrar seu filho fugitivo. O jovem aparentemente usa um chapéu com aparência incomum.","A man across the way from the weapon shop near the southern gate needs help finding his runaway son. The young man apparently wears an unusual-looking hat.","Un hombre frente a la tienda de armas cerca de la puerta sur necesita ayuda para encontrar a su hijo. El chico lleva un sombrero muy particular."
"O fugitivo quer agradecer a família do dono da taberna por ajudá-lo. Traga cinco pedaços de carneiro e três pedaços de carne de cabra.","The runaway wants to thank the tavern keeper's family for helping him. Bring him five pieces of mutton and three pieces of goat meat.","El fugitivo quiere agradecer a la familia del tabernero su ayuda. Llévale cinco piezas de carnero y tres piezas de carne de cabra."
"Você coletou toda a carne. Leve-a para o dono da taberna.","You collected all of the meat. Bring it to the tavern keeper.","Has reunido toda la carne. Llévasela al tabernero."
"Você perdeu o fugitivo. Volte para os pais dele.","You've lost the runaway. Return to his parents.","Has perdido al fugitivo. Vuelve con sus padres."
"Procure pistas sobre o paradeiro do fugitivo em Beira-Mar.","Look around Seafront for clues to the runaway's whereabouts.","Busca pistas en Ciudad Costera sobre el paradero del fugitivo."
"O fugitivo foi para Facade. Encontre-o e o faça pagar pelo que fez.","The runaway has gone to Facade. Track him down and make him pay for what he's done.","El fugitivo ha huido a Fachada. Sigue su rastro y que pague por lo que ha hecho."
"Você encontrou o fugitivo em Facade. Ele está fugindo—pegue-o!","You found the runaway in Facade. He's making a run for it—nab him!","Has encontrado al fugitivo en Fachada. Intenta escapar, ¡atrápalo!"
"O fugitivo reconheceu seus erros. Informe os pais dele.","The runaway has seen the error of his ways. Report back to his parents.","El fugitivo se ha dado cuenta de su error. Informa a sus padres."
"Agora os pais do fugitivo estão desaparecidos! ... Aparentemente, toda a família é cheia de mentirosos.","Now the runaway's parents are missing! ...Apparently the entire family is full of liars.","¡Ahora son los padres quienes han desaparecido! Menuda familia de mentirosos."
"Um homem na área aberta perto do farol quer que você obtenha fluorita para que ele possa fazer um acessório de moda para seu amante. Você pode encontrá-lo na loja de Itens-Exóticos de Facade.","A man in the open area near the lighthouse wants you to procure fluorite so he can make a fashion accessory for his lover. You can find it in Facade's strange-thing store.","Un hombre en la zona abierta cerca del faro quiere que consigas fluorita para hacerle un accesorio a su amada. Puedes conseguirla en la tienda de objetos raros de Fachada."
"Parece que os materiais necessários estão no Templo Árido.","It seems the required materials are in the Barren Temple.","Parece que los materiales necesarios están en el Templo Árido."
"Você obteve fluorita. Leve-a para o homem.","You've obtained fluorite. Bring it to the man.","Has conseguido la fluorita. Llévasela al hombre."
"Você deu o minério para o cliente. Ah, o amor...","You gave the ore to the client. Ah, love...","Le has dado el mineral al cliente. Ay, el amor..."
"O filho do ferreiro de Facade saiu de casa e está indo para o deserto.<LF>Seus pais querem que você o traga de volta.","The child of Facade's blacksmith has left home and is headed for the desert.<LF>His parents want you to bring him back.","El hijo de los dueños de la tienda de armas de Fachada se ha marchado al desierto. Quieren que lo traigas de vuelta."
"Ignorando seus apelos, a criança partiu em direção a uma toca de lobos.<LF>Não o deixe lutar sozinho!","Ignoring your pleas, the child set off toward a den of wolves.<LF>Don't let him fight alone!","El niño te ha ignorado y va a por una manada de lobos. ¡No le dejes luchar solo!"
"Você trouxe o filho de volta para casa são e salvo.","You brought the son home safe and sound.","Has llevado al chico a casa sano y salvo."
"Uma família perto da Loja de Itens-Exóticos de Facade não consegue encontrar sua filha. Pergunte por perto de Facade e veja o que consegue descobrir.","A family near Facade's strange-thing store cannot find their daughter. Ask around Facade and see what you can learn.","Una familia cerca de la tienda de objetos raros de Fachada no encuentra a su hija. Investiga a ver qué descubres."
"A filha foi vista com seu namorado no nível mais baixo da cidade. Vá procurar por mais pistas.","The daughter was sighted with her boyfriend on the lowest level of town. Go search for further clues.","La chica fue vista con su novio en el nivel más bajo de la ciudad. Ve allí a buscar más pistas."
